generation,ID,score,rawScores,ownScore
0,170,7.250000,"[7.000000,6.000000,11.000000,5.000000]",7.250000
100,10194,36.750000,"[36.000000,34.000000,40.000000,37.000000]",36.750000
200,20186,36.250000,"[34.000000,35.000000,36.000000,40.000000]",36.250000
300,30157,34.500000,"[36.000000,28.000000,44.000000,30.000000]",34.500000
400,40167,36.500000,"[39.000000,41.000000,34.000000,32.000000]",36.500000
500,50169,37.500000,"[33.000000,40.000000,26.000000,51.000000]",37.500000
600,60153,35.750000,"[32.000000,27.000000,46.000000,38.000000]",35.750000
700,70125,37.500000,"[38.000000,41.000000,32.000000,39.000000]",37.500000
800,80142,36.500000,"[36.000000,36.000000,24.000000,50.000000]",36.500000
900,90142,37.250000,"[41.000000,29.000000,30.000000,49.000000]",37.250000
1000,100155,37.250000,"[35.000000,37.000000,38.000000,39.000000]",37.250000
1100,110120,36.750000,"[42.000000,35.000000,39.000000,31.000000]",36.750000
1200,120175,37.000000,"[35.000000,25.000000,39.000000,49.000000]",37.000000
1300,130164,37.750000,"[43.000000,40.000000,33.000000,35.000000]",37.750000
1400,140156,37.000000,"[37.000000,41.000000,23.000000,47.000000]",37.000000
1500,150104,37.000000,"[29.000000,42.000000,39.000000,38.000000]",37.000000
1600,160109,37.250000,"[34.000000,38.000000,28.000000,49.000000]",37.250000
1700,170134,36.750000,"[42.000000,35.000000,33.000000,37.000000]",36.750000
1800,180114,36.000000,"[36.000000,37.000000,36.000000,35.000000]",36.000000
1900,190170,36.750000,"[39.000000,36.000000,36.000000,36.000000]",36.750000
2000,200196,37.250000,"[42.000000,32.000000,40.000000,35.000000]",37.250000
2100,210155,37.500000,"[41.000000,30.000000,46.000000,33.000000]",37.500000
2200,220197,37.000000,"[32.000000,36.000000,46.000000,34.000000]",37.000000
2300,230149,37.000000,"[42.000000,44.000000,39.000000,23.000000]",37.000000
2400,240124,37.500000,"[36.000000,38.000000,44.000000,32.000000]",37.500000
2500,250196,36.750000,"[33.000000,46.000000,38.000000,30.000000]",36.750000
2600,260115,37.250000,"[23.000000,55.000000,38.000000,33.000000]",37.250000
2700,270153,36.250000,"[29.000000,39.000000,47.000000,30.000000]",36.250000
2800,280143,37.500000,"[30.000000,41.000000,43.000000,36.000000]",37.500000
2900,290109,35.750000,"[37.000000,30.000000,42.000000,34.000000]",35.750000
3000,300170,35.000000,"[33.000000,31.000000,45.000000,31.000000]",35.000000
3100,310130,35.000000,"[45.000000,39.000000,27.000000,29.000000]",35.000000
3200,320114,37.750000,"[42.000000,42.000000,30.000000,37.000000]",37.750000
3300,330145,36.250000,"[57.000000,33.000000,25.000000,30.000000]",36.250000
3400,340191,34.500000,"[39.000000,39.000000,26.000000,34.000000]",34.500000
3500,350116,36.000000,"[40.000000,20.000000,44.000000,40.000000]",36.000000
3600,360194,37.250000,"[32.000000,50.000000,28.000000,39.000000]",37.250000
3700,370114,38.000000,"[46.000000,37.000000,36.000000,33.000000]",38.000000
3800,380161,36.750000,"[36.000000,45.000000,30.000000,36.000000]",36.750000
3900,390151,36.000000,"[30.000000,25.000000,43.000000,46.000000]",36.000000
4000,400193,37.250000,"[40.000000,35.000000,32.000000,42.000000]",37.250000
4100,410179,37.750000,"[33.000000,38.000000,42.000000,38.000000]",37.750000
4200,420197,37.000000,"[39.000000,29.000000,45.000000,35.000000]",37.000000
4300,430190,36.750000,"[34.000000,26.000000,45.000000,42.000000]",36.750000
4400,440134,37.250000,"[44.000000,33.000000,28.000000,44.000000]",37.250000
4500,450177,37.500000,"[26.000000,39.000000,28.000000,57.000000]",37.500000
4600,460118,37.000000,"[23.000000,27.000000,43.000000,55.000000]",37.000000
4700,470173,37.000000,"[35.000000,37.000000,42.000000,34.000000]",37.000000
4800,480169,36.500000,"[37.000000,39.000000,33.000000,37.000000]",36.500000
4900,490195,37.000000,"[49.000000,33.000000,31.000000,35.000000]",37.000000
5000,500142,37.000000,"[37.000000,49.000000,32.000000,30.000000]",37.000000
5100,510131,37.750000,"[43.000000,37.000000,38.000000,33.000000]",37.750000
5200,520133,36.500000,"[38.000000,40.000000,35.000000,33.000000]",36.500000
5300,530142,37.250000,"[49.000000,30.000000,36.000000,34.000000]",37.250000
5400,540136,36.750000,"[20.000000,48.000000,41.000000,38.000000]",36.750000
5500,550163,36.750000,"[41.000000,33.000000,35.000000,38.000000]",36.750000
5600,560138,36.750000,"[41.000000,47.000000,39.000000,20.000000]",36.750000
5700,570135,37.000000,"[55.000000,45.000000,22.000000,26.000000]",37.000000
5800,580100,37.250000,"[47.000000,33.000000,31.000000,38.000000]",37.250000
5900,590148,36.250000,"[36.000000,31.000000,43.000000,35.000000]",36.250000
6000,600130,34.750000,"[35.000000,41.000000,29.000000,34.000000]",34.750000
6100,610110,37.500000,"[30.000000,47.000000,41.000000,32.000000]",37.500000
6200,620194,37.750000,"[36.000000,30.000000,46.000000,39.000000]",37.750000
6300,630135,36.500000,"[48.000000,20.000000,39.000000,39.000000]",36.500000
6400,640107,37.750000,"[22.000000,46.000000,42.000000,41.000000]",37.750000
6500,650100,36.750000,"[34.000000,31.000000,49.000000,33.000000]",36.750000
6600,660188,13.000000,"[14.000000,10.000000,20.000000,8.000000]",13.000000
6700,670103,37.500000,"[56.000000,33.000000,30.000000,31.000000]",37.500000
6800,680130,36.500000,"[45.000000,35.000000,36.000000,30.000000]",36.500000
6900,690182,38.000000,"[42.000000,39.000000,30.000000,41.000000]",38.000000
7000,700190,37.250000,"[32.000000,34.000000,48.000000,35.000000]",37.250000
7100,710183,36.500000,"[31.000000,49.000000,40.000000,26.000000]",36.500000
7200,720170,37.750000,"[37.000000,33.000000,38.000000,43.000000]",37.750000
