generation,ID,score,rawScores,ownScore
0,131,47.000000,"[47.000000,27.000000,28.000000,27.000000]",47.000000
100,10144,52.000000,"[52.000000,33.000000,21.000000,29.000000]",52.000000
200,20155,43.000000,"[23.000000,43.000000,39.000000,42.000000]",43.000000
300,30167,43.000000,"[8.000000,35.000000,35.000000,43.000000]",43.000000
400,40181,63.000000,"[63.000000,21.000000,21.000000,20.000000]",63.000000
500,50160,77.000000,"[8.000000,34.000000,77.000000,25.000000]",77.000000
600,60184,51.000000,"[15.000000,51.000000,43.000000,32.000000]",51.000000
700,70121,85.000000,"[1.000000,85.000000,25.000000,33.000000]",85.000000
800,80112,62.000000,"[12.000000,33.000000,62.000000,38.000000]",62.000000
900,90184,55.000000,"[4.000000,42.000000,41.000000,55.000000]",55.000000
1000,100167,53.000000,"[1.000000,53.000000,45.000000,14.000000]",53.000000
1100,110103,69.000000,"[6.000000,69.000000,22.000000,48.000000]",69.000000
1200,120186,59.000000,"[7.000000,43.000000,59.000000,28.000000]",59.000000
1300,130157,55.000000,"[25.000000,27.000000,41.000000,55.000000]",55.000000
1400,140169,63.000000,"[3.000000,49.000000,63.000000,32.000000]",63.000000
1500,150153,46.000000,"[42.000000,28.000000,46.000000,30.000000]",46.000000
1600,160190,53.000000,"[30.000000,53.000000,23.000000,8.000000]",53.000000
1700,170181,59.000000,"[59.000000,59.000000,14.000000,10.000000]",59.000000
1800,180170,74.000000,"[6.000000,9.000000,5.000000,74.000000]",74.000000
1900,190182,116.000000,"[3.000000,6.000000,3.000000,116.000000]",116.000000
2000,200177,100.000000,"[100.000000,2.000000,3.000000,10.000000]",100.000000
2100,210153,104.000000,"[104.000000,6.000000,2.000000,7.000000]",104.000000
2200,220136,92.000000,"[9.000000,92.000000,2.000000,2.000000]",92.000000
2300,230143,84.000000,"[2.000000,84.000000,3.000000,2.000000]",84.000000
2400,240170,112.000000,"[7.000000,112.000000,1.000000,2.000000]",112.000000
2500,250130,85.000000,"[0.000000,85.000000,0.000000,0.000000]",85.000000
2600,260112,130.000000,"[0.000000,130.000000,0.000000,0.000000]",130.000000
2700,270166,96.000000,"[0.000000,96.000000,3.000000,0.000000]",96.000000
2800,280150,117.000000,"[0.000000,117.000000,0.000000,0.000000]",117.000000
2900,290100,112.000000,"[0.000000,112.000000,0.000000,0.000000]",112.000000
3000,300174,99.000000,"[0.000000,99.000000,0.000000,0.000000]",99.000000
3100,310149,118.000000,"[2.000000,118.000000,0.000000,0.000000]",118.000000
3200,320191,106.000000,"[0.000000,106.000000,0.000000,0.000000]",106.000000
3300,330171,108.000000,"[0.000000,108.000000,0.000000,0.000000]",108.000000
3400,340171,116.000000,"[0.000000,116.000000,0.000000,0.000000]",116.000000
3500,350129,103.000000,"[0.000000,103.000000,0.000000,0.000000]",103.000000
3600,360162,103.000000,"[0.000000,103.000000,0.000000,0.000000]",103.000000
3700,370174,95.000000,"[5.000000,95.000000,4.000000,4.000000]",95.000000
3800,380105,118.000000,"[0.000000,118.000000,2.000000,0.000000]",118.000000
3900,390152,107.000000,"[3.000000,107.000000,1.000000,0.000000]",107.000000
4000,400166,94.000000,"[1.000000,94.000000,0.000000,0.000000]",94.000000
4100,410116,108.000000,"[0.000000,108.000000,0.000000,0.000000]",108.000000
4200,420182,107.000000,"[1.000000,107.000000,0.000000,1.000000]",107.000000
4300,430169,130.000000,"[0.000000,130.000000,0.000000,1.000000]",130.000000
4400,440170,101.000000,"[0.000000,101.000000,3.000000,0.000000]",101.000000
4500,450113,101.000000,"[0.000000,101.000000,5.000000,0.000000]",101.000000
4600,460174,106.000000,"[0.000000,106.000000,3.000000,0.000000]",106.000000
4700,470105,102.000000,"[1.000000,102.000000,2.000000,0.000000]",102.000000
4800,480119,108.000000,"[1.000000,108.000000,1.000000,0.000000]",108.000000
4900,490192,99.000000,"[0.000000,99.000000,0.000000,1.000000]",99.000000
5000,500125,109.000000,"[0.000000,109.000000,0.000000,1.000000]",109.000000
5100,510134,113.000000,"[0.000000,113.000000,0.000000,0.000000]",113.000000
5200,520195,124.000000,"[2.000000,124.000000,0.000000,1.000000]",124.000000
5300,530112,106.000000,"[0.000000,0.000000,106.000000,0.000000]",106.000000
5400,540144,112.000000,"[1.000000,0.000000,112.000000,4.000000]",112.000000
5500,550144,103.000000,"[103.000000,0.000000,1.000000,1.000000]",103.000000
5600,560113,110.000000,"[110.000000,1.000000,0.000000,0.000000]",110.000000
5700,570164,117.000000,"[117.000000,0.000000,0.000000,0.000000]",117.000000
5800,580167,106.000000,"[106.000000,1.000000,0.000000,0.000000]",106.000000
5900,590151,118.000000,"[118.000000,2.000000,1.000000,0.000000]",118.000000
6000,600167,100.000000,"[100.000000,0.000000,1.000000,0.000000]",100.000000
6100,610164,90.000000,"[90.000000,2.000000,2.000000,0.000000]",90.000000
6200,620180,112.000000,"[0.000000,0.000000,112.000000,0.000000]",112.000000
6300,630137,111.000000,"[0.000000,0.000000,111.000000,0.000000]",111.000000
6400,640183,114.000000,"[0.000000,0.000000,114.000000,2.000000]",114.000000
6500,650186,121.000000,"[0.000000,0.000000,121.000000,1.000000]",121.000000
6600,660126,119.000000,"[4.000000,0.000000,119.000000,0.000000]",119.000000
6700,670196,106.000000,"[2.000000,0.000000,106.000000,2.000000]",106.000000
6800,680149,118.000000,"[0.000000,3.000000,118.000000,0.000000]",118.000000
6900,690131,104.000000,"[0.000000,0.000000,104.000000,0.000000]",104.000000
7000,700148,110.000000,"[0.000000,1.000000,110.000000,2.000000]",110.000000
7100,710172,112.000000,"[2.000000,0.000000,112.000000,4.000000]",112.000000
7200,720158,115.000000,"[0.000000,0.000000,115.000000,0.000000]",115.000000
7300,730194,104.000000,"[1.000000,0.000000,104.000000,0.000000]",104.000000
7400,740157,101.000000,"[1.000000,0.000000,101.000000,3.000000]",101.000000
7500,750125,105.000000,"[1.000000,0.000000,105.000000,2.000000]",105.000000
7600,760111,122.000000,"[1.000000,0.000000,122.000000,0.000000]",122.000000
7700,770168,108.000000,"[0.000000,2.000000,108.000000,0.000000]",108.000000
7800,780186,95.000000,"[1.000000,1.000000,95.000000,1.000000]",95.000000
7900,790148,114.000000,"[1.000000,0.000000,114.000000,0.000000]",114.000000
8000,800177,114.000000,"[0.000000,1.000000,114.000000,0.000000]",114.000000
8100,810104,119.000000,"[0.000000,119.000000,0.000000,0.000000]",119.000000
8200,820100,120.000000,"[0.000000,120.000000,0.000000,0.000000]",120.000000
8300,830184,109.000000,"[0.000000,109.000000,0.000000,0.000000]",109.000000
8400,840138,101.000000,"[8.000000,101.000000,1.000000,1.000000]",101.000000
8500,850191,91.000000,"[0.000000,91.000000,4.000000,6.000000]",91.000000
8600,860108,95.000000,"[2.000000,95.000000,2.000000,0.000000]",95.000000
8700,870121,108.000000,"[0.000000,108.000000,4.000000,0.000000]",108.000000
8800,880159,118.000000,"[0.000000,118.000000,0.000000,1.000000]",118.000000
8900,890105,107.000000,"[2.000000,107.000000,0.000000,0.000000]",107.000000
9000,900164,83.000000,"[5.000000,83.000000,2.000000,3.000000]",83.000000
9100,910129,108.000000,"[0.000000,108.000000,4.000000,1.000000]",108.000000
9200,920123,95.000000,"[0.000000,95.000000,0.000000,0.000000]",95.000000
9300,930184,121.000000,"[0.000000,121.000000,1.000000,0.000000]",121.000000
9400,940131,94.000000,"[15.000000,94.000000,1.000000,4.000000]",94.000000
9500,950109,106.000000,"[0.000000,0.000000,1.000000,106.000000]",106.000000
9600,960168,84.000000,"[0.000000,0.000000,13.000000,84.000000]",84.000000
9700,970162,98.000000,"[6.000000,98.000000,0.000000,1.000000]",98.000000
9800,980174,109.000000,"[0.000000,109.000000,0.000000,1.000000]",109.000000
9900,990195,105.000000,"[0.000000,105.000000,0.000000,0.000000]",105.000000
10000,1000134,97.000000,"[5.000000,97.000000,3.000000,0.000000]",97.000000
10100,1010190,107.000000,"[1.000000,107.000000,0.000000,2.000000]",107.000000
10200,1020146,102.000000,"[0.000000,102.000000,0.000000,1.000000]",102.000000
10300,1030114,100.000000,"[2.000000,100.000000,2.000000,1.000000]",100.000000
10400,1040140,113.000000,"[0.000000,113.000000,1.000000,1.000000]",113.000000
