generation,ID,score,rawScores,ownScore
0,160,13.000000,"[0.000000,18.000000,0.000000,34.000000]",34.000000
100,10196,33.250000,"[5.000000,51.000000,42.000000,35.000000]",35.000000
200,20187,29.000000,"[49.000000,33.000000,34.000000,0.000000]",49.000000
300,30124,37.250000,"[30.000000,40.000000,37.000000,42.000000]",42.000000
400,40181,22.500000,"[58.000000,0.000000,32.000000,0.000000]",32.000000
500,50178,22.250000,"[18.000000,27.000000,35.000000,9.000000]",27.000000
600,60139,35.750000,"[40.000000,34.000000,0.000000,69.000000]",40.000000
700,70129,27.500000,"[10.000000,8.000000,84.000000,8.000000]",84.000000
800,80165,30.000000,"[59.000000,11.000000,50.000000,0.000000]",50.000000
900,90153,36.000000,"[47.000000,6.000000,43.000000,48.000000]",43.000000
1000,100187,36.000000,"[25.000000,33.000000,37.000000,49.000000]",25.000000
1100,110176,35.750000,"[28.000000,35.000000,27.000000,53.000000]",53.000000
1200,120114,32.250000,"[11.000000,75.000000,1.000000,42.000000]",75.000000
1300,130158,34.250000,"[19.000000,14.000000,25.000000,79.000000]",14.000000
1400,140195,32.000000,"[44.000000,26.000000,58.000000,0.000000]",44.000000
1500,150141,36.000000,"[45.000000,19.000000,21.000000,59.000000]",21.000000
1600,160120,36.250000,"[80.000000,12.000000,30.000000,23.000000]",23.000000
1700,170107,36.000000,"[40.000000,22.000000,35.000000,47.000000]",40.000000
1800,180197,31.250000,"[47.000000,0.000000,28.000000,50.000000]",28.000000
1900,190173,31.000000,"[27.000000,34.000000,39.000000,24.000000]",39.000000
2000,200116,33.750000,"[60.000000,35.000000,0.000000,40.000000]",40.000000
2100,210121,12.250000,"[30.000000,9.000000,10.000000,0.000000]",10.000000
2200,220187,33.750000,"[45.000000,35.000000,12.000000,43.000000]",45.000000
2300,230162,36.000000,"[9.000000,50.000000,40.000000,45.000000]",50.000000
2400,240153,36.000000,"[20.000000,22.000000,40.000000,62.000000]",40.000000
2500,250179,24.500000,"[55.000000,0.000000,13.000000,30.000000]",55.000000
