generation,ID,score,rawScores,ownScore
0,101,8.750000,"[0.000000,0.000000,35.000000,0.000000]",35.000000
100,10131,30.000000,"[72.000000,0.000000,44.000000,4.000000]",72.000000
200,20195,30.500000,"[49.000000,14.000000,59.000000,0.000000]",49.000000
300,30138,35.000000,"[54.000000,52.000000,0.000000,34.000000]",52.000000
400,40164,36.500000,"[35.000000,59.000000,29.000000,23.000000]",23.000000
500,50134,31.750000,"[35.000000,52.000000,23.000000,17.000000]",52.000000
600,60101,30.250000,"[25.000000,42.000000,54.000000,0.000000]",54.000000
700,70125,36.750000,"[59.000000,36.000000,41.000000,11.000000]",41.000000
800,80146,28.500000,"[5.000000,61.000000,2.000000,46.000000]",61.000000
900,90132,32.750000,"[77.000000,0.000000,0.000000,54.000000]",54.000000
1000,100130,25.500000,"[9.000000,90.000000,3.000000,0.000000]",90.000000
1100,110102,29.750000,"[60.000000,44.000000,14.000000,1.000000]",44.000000
1200,120181,28.000000,"[18.000000,29.000000,48.000000,17.000000]",48.000000
1300,130131,28.750000,"[105.000000,10.000000,0.000000,0.000000]",105.000000
1400,140105,32.000000,"[34.000000,41.000000,32.000000,21.000000]",32.000000
1500,150192,34.000000,"[0.000000,62.000000,34.000000,40.000000]",40.000000
1600,160160,24.250000,"[0.000000,50.000000,14.000000,33.000000]",33.000000
1700,170178,32.750000,"[9.000000,40.000000,35.000000,47.000000]",40.000000
1800,180188,19.250000,"[1.000000,8.000000,52.000000,16.000000]",16.000000
1900,190140,21.000000,"[10.000000,1.000000,67.000000,6.000000]",6.000000
2000,200193,34.000000,"[41.000000,30.000000,27.000000,38.000000]",27.000000
2100,210117,26.500000,"[0.000000,0.000000,46.000000,60.000000]",46.000000
2200,220157,21.500000,"[32.000000,0.000000,53.000000,1.000000]",53.000000
2300,230113,31.250000,"[0.000000,51.000000,56.000000,18.000000]",56.000000
2400,240144,26.750000,"[2.000000,0.000000,46.000000,59.000000]",59.000000
