generation,ID,score,rawScores,ownScore
0,151,0.000000,"[9.000000,0.000000,0.000000,0.000000]",9.000000
100,10109,27.000000,"[50.000000,27.000000,30.000000,35.000000]",30.000000
200,20153,30.000000,"[41.000000,30.000000,41.000000,31.000000]",41.000000
300,30150,26.000000,"[27.000000,69.000000,26.000000,29.000000]",69.000000
400,40139,21.000000,"[51.000000,21.000000,36.000000,37.000000]",51.000000
500,50127,24.000000,"[44.000000,33.000000,24.000000,48.000000]",44.000000
600,60128,27.000000,"[44.000000,35.000000,32.000000,27.000000]",27.000000
700,70101,31.000000,"[35.000000,39.000000,42.000000,31.000000]",42.000000
800,80108,25.000000,"[51.000000,29.000000,38.000000,25.000000]",25.000000
900,90155,22.000000,"[37.000000,50.000000,39.000000,22.000000]",37.000000
1000,100180,25.000000,"[42.000000,25.000000,52.000000,26.000000]",26.000000
1100,110114,28.000000,"[28.000000,30.000000,33.000000,55.000000]",30.000000
1200,120165,32.000000,"[32.000000,33.000000,41.000000,32.000000]",41.000000
1300,130169,29.000000,"[29.000000,36.000000,45.000000,36.000000]",45.000000
1400,140175,24.000000,"[55.000000,25.000000,32.000000,24.000000]",55.000000
1500,150127,16.000000,"[16.000000,43.000000,61.000000,19.000000]",16.000000
1600,160163,31.000000,"[31.000000,31.000000,39.000000,40.000000]",31.000000
1700,170164,24.000000,"[47.000000,39.000000,24.000000,26.000000]",26.000000
1800,180160,9.000000,"[13.000000,22.000000,9.000000,20.000000]",20.000000
1900,190159,29.000000,"[30.000000,29.000000,41.000000,38.000000]",30.000000
2000,200181,17.000000,"[43.000000,17.000000,23.000000,30.000000]",23.000000
2100,210104,26.000000,"[30.000000,26.000000,32.000000,51.000000]",51.000000
2200,220137,13.000000,"[13.000000,39.000000,44.000000,45.000000]",44.000000
2300,230146,28.000000,"[32.000000,28.000000,34.000000,51.000000]",28.000000
2400,240148,15.000000,"[53.000000,25.000000,15.000000,48.000000]",48.000000
2500,250132,19.000000,"[42.000000,24.000000,30.000000,19.000000]",19.000000
2600,260127,9.000000,"[25.000000,40.000000,9.000000,33.000000]",25.000000
2700,270148,24.000000,"[28.000000,30.000000,24.000000,49.000000]",49.000000
2800,280146,24.000000,"[24.000000,27.000000,30.000000,60.000000]",27.000000
2900,290102,29.000000,"[29.000000,45.000000,35.000000,30.000000]",45.000000
3000,300125,23.000000,"[38.000000,23.000000,39.000000,38.000000]",39.000000
3100,310112,24.000000,"[30.000000,49.000000,47.000000,24.000000]",24.000000
3200,320122,6.000000,"[11.000000,10.000000,10.000000,6.000000]",10.000000
3300,330196,24.000000,"[36.000000,25.000000,24.000000,54.000000]",54.000000
3400,340165,31.000000,"[31.000000,37.000000,45.000000,34.000000]",45.000000
3500,350176,30.000000,"[30.000000,35.000000,44.000000,38.000000]",38.000000
3600,360124,24.000000,"[36.000000,50.000000,36.000000,24.000000]",24.000000
3700,370174,34.000000,"[37.000000,34.000000,36.000000,39.000000]",34.000000
3800,380155,34.000000,"[36.000000,39.000000,34.000000,38.000000]",36.000000
3900,390177,11.000000,"[40.000000,36.000000,50.000000,11.000000]",50.000000
4000,400150,19.000000,"[44.000000,49.000000,28.000000,19.000000]",49.000000
4100,410143,32.000000,"[37.000000,38.000000,34.000000,32.000000]",37.000000
4200,420168,17.000000,"[17.000000,34.000000,40.000000,33.000000]",33.000000
4300,430138,29.000000,"[29.000000,36.000000,29.000000,53.000000]",36.000000
4400,440142,19.000000,"[42.000000,40.000000,19.000000,44.000000]",40.000000
4500,450139,26.000000,"[29.000000,31.000000,26.000000,39.000000]",29.000000
4600,460135,25.000000,"[49.000000,37.000000,27.000000,25.000000]",49.000000
4700,470163,18.000000,"[30.000000,18.000000,53.000000,32.000000]",30.000000
4800,480131,31.000000,"[41.000000,40.000000,33.000000,31.000000]",41.000000
4900,490189,24.000000,"[56.000000,24.000000,42.000000,25.000000]",42.000000
5000,500158,23.000000,"[38.000000,44.000000,41.000000,23.000000]",44.000000
5100,510108,18.000000,"[18.000000,33.000000,31.000000,56.000000]",56.000000
