generation,ID,score,rawScores,ownScore
0,184,15.000000,"[15.000000,15.000000,7.000000,11.000000]",15.000000
100,10181,49.000000,"[11.000000,47.000000,49.000000,28.000000]",49.000000
200,20114,64.000000,"[64.000000,2.000000,33.000000,2.000000]",64.000000
300,30137,75.000000,"[21.000000,30.000000,75.000000,2.000000]",75.000000
400,40145,68.000000,"[1.000000,2.000000,68.000000,3.000000]",68.000000
500,50168,40.000000,"[2.000000,33.000000,40.000000,2.000000]",40.000000
600,60184,61.000000,"[1.000000,2.000000,61.000000,57.000000]",61.000000
700,70179,38.000000,"[36.000000,38.000000,17.000000,12.000000]",38.000000
800,80176,100.000000,"[27.000000,7.000000,100.000000,13.000000]",100.000000
900,90128,78.000000,"[10.000000,11.000000,78.000000,13.000000]",78.000000
1000,100182,77.000000,"[45.000000,7.000000,6.000000,77.000000]",77.000000
1100,110105,52.000000,"[5.000000,9.000000,52.000000,24.000000]",52.000000
1200,120170,51.000000,"[36.000000,31.000000,51.000000,21.000000]",51.000000
1300,130107,42.000000,"[36.000000,7.000000,36.000000,42.000000]",42.000000
1400,140135,55.000000,"[48.000000,13.000000,3.000000,55.000000]",55.000000
1500,150147,68.000000,"[8.000000,68.000000,31.000000,12.000000]",68.000000
1600,160191,50.000000,"[50.000000,3.000000,2.000000,5.000000]",50.000000
1700,170187,57.000000,"[57.000000,3.000000,2.000000,33.000000]",57.000000
1800,180152,62.000000,"[62.000000,32.000000,16.000000,8.000000]",62.000000
1900,190123,38.000000,"[33.000000,38.000000,28.000000,28.000000]",38.000000
2000,200171,50.000000,"[13.000000,50.000000,34.000000,21.000000]",50.000000
2100,210101,111.000000,"[0.000000,111.000000,0.000000,0.000000]",111.000000
2200,220179,87.000000,"[3.000000,87.000000,1.000000,0.000000]",87.000000
2300,230116,100.000000,"[4.000000,100.000000,1.000000,0.000000]",100.000000
2400,240176,118.000000,"[0.000000,118.000000,0.000000,2.000000]",118.000000
2500,250153,125.000000,"[1.000000,125.000000,0.000000,0.000000]",125.000000
2600,260115,101.000000,"[2.000000,101.000000,0.000000,0.000000]",101.000000
2700,270120,119.000000,"[1.000000,119.000000,0.000000,1.000000]",119.000000
2800,280160,115.000000,"[0.000000,115.000000,0.000000,0.000000]",115.000000
2900,290114,127.000000,"[0.000000,127.000000,0.000000,0.000000]",127.000000
3000,300189,113.000000,"[2.000000,113.000000,0.000000,0.000000]",113.000000
3100,310123,128.000000,"[0.000000,128.000000,0.000000,0.000000]",128.000000
3200,320122,111.000000,"[0.000000,111.000000,0.000000,0.000000]",111.000000
3300,330123,87.000000,"[8.000000,87.000000,3.000000,0.000000]",87.000000
3400,340123,104.000000,"[0.000000,104.000000,0.000000,6.000000]",104.000000
3500,350141,111.000000,"[0.000000,111.000000,0.000000,2.000000]",111.000000
3600,360106,121.000000,"[4.000000,121.000000,0.000000,0.000000]",121.000000
3700,370181,111.000000,"[0.000000,111.000000,0.000000,4.000000]",111.000000
3800,380139,103.000000,"[0.000000,103.000000,0.000000,0.000000]",103.000000
3900,390170,110.000000,"[1.000000,110.000000,0.000000,0.000000]",110.000000
4000,400140,126.000000,"[0.000000,126.000000,0.000000,8.000000]",126.000000
4100,410115,121.000000,"[0.000000,121.000000,0.000000,0.000000]",121.000000
4200,420125,134.000000,"[2.000000,134.000000,0.000000,0.000000]",134.000000
4300,430128,115.000000,"[0.000000,115.000000,0.000000,0.000000]",115.000000
4400,440185,116.000000,"[0.000000,116.000000,0.000000,1.000000]",116.000000
4500,450175,130.000000,"[0.000000,130.000000,0.000000,0.000000]",130.000000
4600,460128,119.000000,"[0.000000,119.000000,0.000000,0.000000]",119.000000
4700,470134,113.000000,"[0.000000,113.000000,0.000000,0.000000]",113.000000
4800,480142,133.000000,"[0.000000,133.000000,0.000000,0.000000]",133.000000
4900,490173,130.000000,"[0.000000,130.000000,0.000000,0.000000]",130.000000
5000,500122,132.000000,"[0.000000,132.000000,0.000000,0.000000]",132.000000
5100,510197,132.000000,"[0.000000,132.000000,0.000000,0.000000]",132.000000
5200,520160,100.000000,"[0.000000,100.000000,0.000000,4.000000]",100.000000
5300,530119,114.000000,"[0.000000,114.000000,0.000000,0.000000]",114.000000
5400,540150,128.000000,"[0.000000,128.000000,0.000000,0.000000]",128.000000
5500,550126,119.000000,"[1.000000,119.000000,0.000000,0.000000]",119.000000
5600,560194,129.000000,"[0.000000,129.000000,0.000000,0.000000]",129.000000
5700,570180,131.000000,"[0.000000,131.000000,0.000000,0.000000]",131.000000
5800,580151,118.000000,"[0.000000,118.000000,0.000000,0.000000]",118.000000
5900,590198,132.000000,"[0.000000,132.000000,0.000000,0.000000]",132.000000
6000,600122,138.000000,"[0.000000,138.000000,0.000000,0.000000]",138.000000
6100,610152,126.000000,"[4.000000,126.000000,0.000000,0.000000]",126.000000
6200,620104,131.000000,"[0.000000,131.000000,0.000000,0.000000]",131.000000
6300,630185,123.000000,"[0.000000,123.000000,0.000000,0.000000]",123.000000
6400,640199,128.000000,"[0.000000,128.000000,0.000000,0.000000]",128.000000
6500,650105,126.000000,"[0.000000,126.000000,0.000000,0.000000]",126.000000
6600,660155,108.000000,"[0.000000,108.000000,1.000000,0.000000]",108.000000
6700,670119,131.000000,"[0.000000,131.000000,0.000000,0.000000]",131.000000
6800,680127,116.000000,"[3.000000,116.000000,0.000000,0.000000]",116.000000
6900,690144,115.000000,"[0.000000,115.000000,0.000000,0.000000]",115.000000
7000,700178,126.000000,"[0.000000,126.000000,0.000000,0.000000]",126.000000
7100,710131,136.000000,"[0.000000,136.000000,0.000000,0.000000]",136.000000
