generation,ID,score,rawScores,ownScore
0,121,25.000000,"[25.000000,17.000000,4.000000,15.000000]",25.000000
100,10181,108.000000,"[1.000000,4.000000,108.000000,0.000000]",108.000000
200,20132,91.000000,"[16.000000,4.000000,91.000000,14.000000]",91.000000
300,30121,102.000000,"[0.000000,4.000000,102.000000,0.000000]",102.000000
400,40112,78.000000,"[3.000000,0.000000,78.000000,6.000000]",78.000000
500,50170,97.000000,"[5.000000,1.000000,97.000000,1.000000]",97.000000
600,60147,101.000000,"[8.000000,6.000000,101.000000,1.000000]",101.000000
700,70140,87.000000,"[4.000000,0.000000,87.000000,0.000000]",87.000000
800,80107,108.000000,"[0.000000,0.000000,108.000000,0.000000]",108.000000
900,90111,87.000000,"[7.000000,0.000000,87.000000,6.000000]",87.000000
1000,100167,99.000000,"[8.000000,0.000000,99.000000,1.000000]",99.000000
1100,110102,121.000000,"[0.000000,0.000000,121.000000,0.000000]",121.000000
1200,120134,116.000000,"[0.000000,0.000000,116.000000,9.000000]",116.000000
1300,130128,131.000000,"[0.000000,0.000000,131.000000,0.000000]",131.000000
1400,140110,128.000000,"[0.000000,0.000000,128.000000,0.000000]",128.000000
1500,150164,102.000000,"[0.000000,0.000000,102.000000,0.000000]",102.000000
1600,160173,132.000000,"[0.000000,0.000000,132.000000,0.000000]",132.000000
1700,170195,113.000000,"[0.000000,0.000000,113.000000,0.000000]",113.000000
1800,180116,115.000000,"[0.000000,0.000000,115.000000,0.000000]",115.000000
1900,190143,125.000000,"[0.000000,0.000000,125.000000,0.000000]",125.000000
2000,200150,114.000000,"[5.000000,0.000000,114.000000,0.000000]",114.000000
2100,210166,119.000000,"[0.000000,0.000000,119.000000,0.000000]",119.000000
2200,220103,116.000000,"[0.000000,0.000000,116.000000,0.000000]",116.000000
2300,230130,111.000000,"[0.000000,0.000000,111.000000,0.000000]",111.000000
2400,240177,101.000000,"[4.000000,0.000000,101.000000,2.000000]",101.000000
2500,250117,116.000000,"[0.000000,0.000000,116.000000,0.000000]",116.000000
2600,260110,123.000000,"[1.000000,0.000000,123.000000,0.000000]",123.000000
2700,270172,111.000000,"[0.000000,0.000000,111.000000,0.000000]",111.000000
2800,280156,113.000000,"[1.000000,1.000000,113.000000,1.000000]",113.000000
2900,290192,105.000000,"[3.000000,5.000000,105.000000,3.000000]",105.000000
3000,300119,111.000000,"[0.000000,0.000000,111.000000,0.000000]",111.000000
3100,310159,117.000000,"[0.000000,0.000000,117.000000,0.000000]",117.000000
3200,320158,115.000000,"[0.000000,0.000000,115.000000,0.000000]",115.000000
3300,330148,89.000000,"[1.000000,0.000000,89.000000,4.000000]",89.000000
3400,340195,89.000000,"[18.000000,8.000000,89.000000,3.000000]",89.000000
3500,350121,118.000000,"[0.000000,0.000000,118.000000,4.000000]",118.000000
3600,360199,117.000000,"[0.000000,0.000000,117.000000,0.000000]",117.000000
3700,370115,93.000000,"[0.000000,0.000000,93.000000,0.000000]",93.000000
3800,380117,117.000000,"[0.000000,0.000000,117.000000,0.000000]",117.000000
3900,390198,112.000000,"[0.000000,0.000000,112.000000,0.000000]",112.000000
4000,400116,115.000000,"[0.000000,0.000000,115.000000,0.000000]",115.000000
4100,410158,120.000000,"[0.000000,0.000000,120.000000,0.000000]",120.000000
4200,420171,128.000000,"[0.000000,0.000000,128.000000,0.000000]",128.000000
4300,430119,123.000000,"[0.000000,0.000000,123.000000,0.000000]",123.000000
4400,440157,117.000000,"[0.000000,0.000000,117.000000,13.000000]",117.000000
4500,450110,100.000000,"[0.000000,3.000000,100.000000,0.000000]",100.000000
4600,460117,115.000000,"[0.000000,0.000000,115.000000,0.000000]",115.000000
4700,470168,120.000000,"[0.000000,0.000000,120.000000,0.000000]",120.000000
