generation,ID,score,rawScores,ownScore
0,116,40.000000,"[35.000000,25.000000,40.000000,38.000000]",40.000000
100,10150,50.000000,"[7.000000,50.000000,30.000000,8.000000]",50.000000
200,20134,45.000000,"[45.000000,10.000000,31.000000,11.000000]",45.000000
300,30177,41.000000,"[31.000000,20.000000,37.000000,41.000000]",41.000000
400,40109,54.000000,"[6.000000,52.000000,1.000000,54.000000]",54.000000
500,50119,54.000000,"[2.000000,40.000000,54.000000,30.000000]",54.000000
600,60144,37.000000,"[31.000000,1.000000,33.000000,37.000000]",37.000000
700,70174,49.000000,"[27.000000,49.000000,25.000000,25.000000]",49.000000
800,80162,46.000000,"[1.000000,46.000000,29.000000,1.000000]",46.000000
900,90148,44.000000,"[44.000000,40.000000,6.000000,44.000000]",44.000000
1000,100114,46.000000,"[35.000000,46.000000,40.000000,3.000000]",46.000000
1100,110162,48.000000,"[3.000000,48.000000,31.000000,48.000000]",48.000000
1200,120108,60.000000,"[27.000000,60.000000,31.000000,1.000000]",60.000000
1300,130147,94.000000,"[94.000000,0.000000,35.000000,0.000000]",94.000000
1400,140141,48.000000,"[0.000000,48.000000,23.000000,14.000000]",48.000000
1500,150182,94.000000,"[0.000000,0.000000,94.000000,0.000000]",94.000000
1600,160143,50.000000,"[25.000000,50.000000,20.000000,7.000000]",50.000000
1700,170139,123.000000,"[0.000000,0.000000,123.000000,0.000000]",123.000000
1800,180153,127.000000,"[2.000000,0.000000,127.000000,0.000000]",127.000000
1900,190165,50.000000,"[14.000000,17.000000,50.000000,26.000000]",50.000000
2000,200192,129.000000,"[0.000000,0.000000,129.000000,0.000000]",129.000000
2100,210116,80.000000,"[80.000000,0.000000,42.000000,0.000000]",80.000000
2200,220192,41.000000,"[0.000000,17.000000,29.000000,41.000000]",41.000000
2300,230188,39.000000,"[30.000000,14.000000,39.000000,33.000000]",39.000000
2400,240163,75.000000,"[0.000000,40.000000,75.000000,17.000000]",75.000000
2500,250156,74.000000,"[27.000000,0.000000,7.000000,74.000000]",74.000000
2600,260175,121.000000,"[0.000000,22.000000,121.000000,0.000000]",121.000000
2700,270135,36.000000,"[30.000000,36.000000,21.000000,30.000000]",36.000000
2800,280178,96.000000,"[0.000000,0.000000,23.000000,96.000000]",96.000000
2900,290102,31.000000,"[18.000000,23.000000,31.000000,28.000000]",31.000000
3000,300147,90.000000,"[0.000000,20.000000,90.000000,0.000000]",90.000000
3100,310142,52.000000,"[0.000000,22.000000,46.000000,52.000000]",52.000000
3200,320170,71.000000,"[0.000000,15.000000,71.000000,0.000000]",71.000000
3300,330157,108.000000,"[0.000000,0.000000,108.000000,0.000000]",108.000000
3400,340109,92.000000,"[32.000000,0.000000,92.000000,0.000000]",92.000000
3500,350122,129.000000,"[0.000000,0.000000,129.000000,0.000000]",129.000000
3600,360143,114.000000,"[0.000000,0.000000,114.000000,0.000000]",114.000000
3700,370194,71.000000,"[0.000000,0.000000,11.000000,71.000000]",71.000000
3800,380111,104.000000,"[0.000000,0.000000,104.000000,12.000000]",104.000000
3900,390152,81.000000,"[0.000000,0.000000,81.000000,0.000000]",81.000000
4000,400152,72.000000,"[13.000000,13.000000,72.000000,0.000000]",72.000000
4100,410199,110.000000,"[0.000000,4.000000,110.000000,1.000000]",110.000000
4200,420143,100.000000,"[0.000000,2.000000,100.000000,0.000000]",100.000000
4300,430195,101.000000,"[9.000000,4.000000,101.000000,2.000000]",101.000000
4400,440160,122.000000,"[0.000000,0.000000,122.000000,1.000000]",122.000000
4500,450158,107.000000,"[0.000000,0.000000,107.000000,0.000000]",107.000000
4600,460141,48.000000,"[0.000000,48.000000,40.000000,1.000000]",48.000000
4700,470175,114.000000,"[0.000000,0.000000,114.000000,0.000000]",114.000000
4800,480196,72.000000,"[72.000000,0.000000,11.000000,0.000000]",72.000000
4900,490100,102.000000,"[0.000000,7.000000,102.000000,6.000000]",102.000000
5000,500115,103.000000,"[8.000000,0.000000,103.000000,0.000000]",103.000000
5100,510119,118.000000,"[0.000000,6.000000,118.000000,0.000000]",118.000000
5200,520182,122.000000,"[2.000000,3.000000,122.000000,12.000000]",122.000000
5300,530179,107.000000,"[0.000000,1.000000,107.000000,0.000000]",107.000000
