generation,ID,score,rawScores,ownScore
0,102,25.000000,"[10.000000,21.000000,54.000000,15.000000]",25.000000
100,10145,34.250000,"[32.000000,31.000000,35.000000,39.000000]",34.250000
200,20160,37.500000,"[38.000000,42.000000,44.000000,26.000000]",37.500000
300,30100,36.250000,"[27.000000,65.000000,33.000000,20.000000]",36.250000
400,40127,38.250000,"[54.000000,56.000000,26.000000,17.000000]",38.250000
500,50193,37.500000,"[48.000000,26.000000,49.000000,27.000000]",37.500000
600,60190,36.500000,"[37.000000,36.000000,16.000000,57.000000]",36.500000
700,70199,37.250000,"[34.000000,40.000000,43.000000,32.000000]",37.250000
800,80154,37.250000,"[31.000000,44.000000,45.000000,29.000000]",37.250000
900,90165,37.250000,"[39.000000,44.000000,28.000000,38.000000]",37.250000
1000,100197,37.750000,"[35.000000,34.000000,53.000000,29.000000]",37.750000
1100,110173,37.250000,"[28.000000,45.000000,51.000000,25.000000]",37.250000
1200,120171,37.000000,"[47.000000,38.000000,35.000000,28.000000]",37.000000
1300,130199,37.250000,"[37.000000,53.000000,29.000000,30.000000]",37.250000
1400,140145,35.750000,"[33.000000,45.000000,36.000000,29.000000]",35.750000
1500,150138,37.750000,"[28.000000,41.000000,35.000000,47.000000]",37.750000
1600,160154,37.750000,"[39.000000,39.000000,28.000000,45.000000]",37.750000
1700,170108,35.500000,"[47.000000,31.000000,31.000000,33.000000]",35.500000
1800,180138,37.250000,"[30.000000,57.000000,46.000000,16.000000]",37.250000
1900,190151,37.500000,"[46.000000,26.000000,52.000000,26.000000]",37.500000
2000,200158,37.250000,"[36.000000,60.000000,19.000000,34.000000]",37.250000
2100,210149,37.750000,"[40.000000,39.000000,25.000000,47.000000]",37.750000
2200,220170,37.250000,"[40.000000,42.000000,33.000000,34.000000]",37.250000
2300,230166,37.000000,"[27.000000,47.000000,23.000000,51.000000]",37.000000
2400,240121,36.750000,"[32.000000,54.000000,35.000000,26.000000]",36.750000
2500,250160,36.000000,"[46.000000,39.000000,33.000000,26.000000]",36.000000
2600,260100,37.250000,"[46.000000,24.000000,20.000000,59.000000]",37.250000
2700,270112,37.000000,"[29.000000,37.000000,36.000000,46.000000]",37.000000
2800,280133,37.000000,"[53.000000,27.000000,46.000000,22.000000]",37.000000
2900,290146,37.000000,"[37.000000,25.000000,36.000000,50.000000]",37.000000
3000,300147,37.000000,"[43.000000,57.000000,24.000000,24.000000]",37.000000
3100,310188,37.750000,"[36.000000,43.000000,54.000000,18.000000]",37.750000
3200,320177,38.000000,"[36.000000,41.000000,46.000000,29.000000]",38.000000
3300,330180,36.000000,"[25.000000,41.000000,27.000000,51.000000]",36.000000
3400,340163,37.500000,"[36.000000,35.000000,17.000000,62.000000]",37.500000
3500,350118,37.250000,"[38.000000,37.000000,33.000000,41.000000]",37.250000
3600,360143,37.500000,"[40.000000,39.000000,22.000000,49.000000]",37.500000
3700,370179,36.500000,"[30.000000,37.000000,41.000000,38.000000]",36.500000
3800,380147,37.000000,"[17.000000,47.000000,40.000000,44.000000]",37.000000
3900,390156,37.250000,"[39.000000,42.000000,25.000000,43.000000]",37.250000
4000,400148,37.250000,"[20.000000,44.000000,53.000000,32.000000]",37.250000
4100,410160,38.000000,"[27.000000,30.000000,41.000000,54.000000]",38.000000
4200,420125,37.250000,"[46.000000,47.000000,25.000000,31.000000]",37.250000
4300,430148,36.250000,"[37.000000,31.000000,46.000000,31.000000]",36.250000
4400,440188,37.000000,"[10.000000,55.000000,60.000000,23.000000]",37.000000
4500,450132,37.000000,"[28.000000,44.000000,41.000000,35.000000]",37.000000
4600,460150,37.500000,"[23.000000,27.000000,47.000000,53.000000]",37.500000
4700,470188,36.750000,"[33.000000,41.000000,32.000000,41.000000]",36.750000
4800,480111,37.000000,"[60.000000,30.000000,36.000000,22.000000]",37.000000
4900,490186,37.500000,"[30.000000,49.000000,32.000000,39.000000]",37.500000
5000,500129,37.750000,"[44.000000,55.000000,22.000000,30.000000]",37.750000
5100,510127,36.250000,"[49.000000,36.000000,22.000000,38.000000]",36.250000
5200,520169,37.250000,"[26.000000,43.000000,21.000000,59.000000]",37.250000
5300,530102,37.500000,"[71.000000,31.000000,22.000000,26.000000]",37.500000
5400,540134,36.500000,"[24.000000,37.000000,45.000000,40.000000]",36.500000
5500,550121,36.000000,"[22.000000,38.000000,37.000000,47.000000]",36.000000
5600,560100,37.000000,"[51.000000,44.000000,25.000000,28.000000]",37.000000
5700,570163,35.750000,"[30.000000,44.000000,35.000000,34.000000]",35.750000
5800,580142,37.250000,"[35.000000,44.000000,42.000000,28.000000]",37.250000
5900,590121,37.750000,"[42.000000,23.000000,45.000000,41.000000]",37.750000
6000,600182,36.500000,"[39.000000,30.000000,40.000000,37.000000]",36.500000
6100,610145,38.000000,"[42.000000,35.000000,30.000000,45.000000]",38.000000
6200,620175,36.250000,"[58.000000,26.000000,29.000000,32.000000]",36.250000
6300,630117,38.250000,"[53.000000,26.000000,52.000000,22.000000]",38.250000
6400,640138,37.250000,"[35.000000,42.000000,37.000000,35.000000]",37.250000
6500,650171,37.500000,"[24.000000,44.000000,31.000000,51.000000]",37.500000
6600,660123,37.000000,"[39.000000,34.000000,39.000000,36.000000]",37.000000
6700,670180,37.000000,"[46.000000,20.000000,44.000000,38.000000]",37.000000
6800,680122,36.750000,"[38.000000,25.000000,33.000000,51.000000]",36.750000
6900,690164,36.000000,"[36.000000,24.000000,39.000000,45.000000]",36.000000
7000,700138,37.000000,"[36.000000,36.000000,46.000000,30.000000]",37.000000
7100,710159,36.000000,"[32.000000,11.000000,44.000000,57.000000]",36.000000
7200,720128,37.250000,"[40.000000,7.000000,46.000000,56.000000]",37.250000
7300,730100,36.750000,"[47.000000,11.000000,53.000000,36.000000]",36.750000
7400,740153,37.750000,"[47.000000,15.000000,42.000000,47.000000]",37.750000
7500,750106,37.500000,"[57.000000,16.000000,35.000000,42.000000]",37.500000
7600,760110,37.500000,"[50.000000,16.000000,38.000000,46.000000]",37.500000
7700,770104,36.250000,"[42.000000,9.000000,45.000000,49.000000]",36.250000
7800,780100,37.750000,"[7.000000,47.000000,33.000000,64.000000]",37.750000
7900,790101,35.500000,"[13.000000,65.000000,30.000000,34.000000]",35.500000
8000,800114,36.750000,"[37.000000,34.000000,42.000000,34.000000]",36.750000
8100,810173,37.500000,"[22.000000,41.000000,42.000000,45.000000]",37.500000
