generation,ID,score,rawScores,ownScore
0,189,19.000000,"[21.000000,17.000000,21.000000,17.000000]",19.000000
100,10142,36.750000,"[23.000000,46.000000,63.000000,15.000000]",36.750000
200,20192,36.250000,"[38.000000,34.000000,26.000000,47.000000]",36.250000
300,30119,38.500000,"[32.000000,46.000000,35.000000,41.000000]",38.500000
400,40128,33.250000,"[30.000000,23.000000,42.000000,38.000000]",33.250000
500,50165,37.500000,"[24.000000,31.000000,47.000000,48.000000]",37.500000
600,60162,36.500000,"[40.000000,28.000000,44.000000,34.000000]",36.500000
700,70100,36.250000,"[39.000000,39.000000,36.000000,31.000000]",36.250000
800,80106,37.500000,"[33.000000,59.000000,38.000000,20.000000]",37.500000
900,90174,37.000000,"[23.000000,19.000000,55.000000,51.000000]",37.000000
1000,100124,36.750000,"[36.000000,39.000000,39.000000,33.000000]",36.750000
1100,110103,37.250000,"[41.000000,34.000000,23.000000,51.000000]",37.250000
1200,120164,37.000000,"[41.000000,41.000000,32.000000,34.000000]",37.000000
1300,130163,38.250000,"[38.000000,31.000000,40.000000,44.000000]",38.250000
1400,140129,36.750000,"[36.000000,31.000000,50.000000,30.000000]",36.750000
1500,150140,36.500000,"[33.000000,62.000000,31.000000,20.000000]",36.500000
1600,160102,37.500000,"[41.000000,18.000000,43.000000,48.000000]",37.500000
1700,170178,36.750000,"[22.000000,26.000000,51.000000,48.000000]",36.750000
1800,180142,37.500000,"[30.000000,27.000000,49.000000,44.000000]",37.500000
1900,190195,36.750000,"[38.000000,51.000000,27.000000,31.000000]",36.750000
2000,200127,36.750000,"[50.000000,24.000000,26.000000,47.000000]",36.750000
2100,210188,37.250000,"[38.000000,35.000000,28.000000,48.000000]",37.250000
2200,220170,36.500000,"[41.000000,42.000000,23.000000,40.000000]",36.500000
2300,230147,37.750000,"[33.000000,44.000000,29.000000,45.000000]",37.750000
2400,240141,38.000000,"[32.000000,30.000000,43.000000,47.000000]",38.000000
2500,250177,37.000000,"[42.000000,39.000000,32.000000,35.000000]",37.000000
2600,260148,36.750000,"[24.000000,29.000000,49.000000,45.000000]",36.750000
2700,270181,37.500000,"[39.000000,34.000000,45.000000,32.000000]",37.500000
2800,280124,36.750000,"[45.000000,25.000000,31.000000,46.000000]",36.750000
2900,290187,38.000000,"[39.000000,47.000000,40.000000,26.000000]",38.000000
3000,300101,37.000000,"[52.000000,42.000000,30.000000,24.000000]",37.000000
3100,310108,37.000000,"[32.000000,35.000000,31.000000,50.000000]",37.000000
