generation,ID,score,rawScores,ownScore
0,188,9.500000,"[10.000000,6.000000,1.000000,21.000000]",21.000000
100,10161,26.500000,"[31.000000,4.000000,71.000000,0.000000]",71.000000
200,20140,30.500000,"[19.000000,31.000000,40.000000,32.000000]",32.000000
300,30191,21.500000,"[79.000000,0.000000,0.000000,7.000000]",79.000000
400,40192,34.000000,"[34.000000,51.000000,18.000000,33.000000]",33.000000
500,50116,33.750000,"[0.000000,41.000000,49.000000,45.000000]",45.000000
600,60181,27.750000,"[11.000000,0.000000,17.000000,83.000000]",17.000000
700,70185,27.500000,"[8.000000,24.000000,38.000000,40.000000]",38.000000
800,80151,32.250000,"[37.000000,0.000000,57.000000,35.000000]",37.000000
900,90143,33.000000,"[41.000000,41.000000,0.000000,50.000000]",41.000000
1000,100115,35.000000,"[24.000000,44.000000,23.000000,49.000000]",24.000000
1100,110180,30.000000,"[0.000000,4.000000,12.000000,104.000000]",104.000000
1200,120107,32.000000,"[37.000000,15.000000,38.000000,38.000000]",37.000000
1300,130110,35.750000,"[47.000000,47.000000,0.000000,49.000000]",47.000000
1400,140195,31.750000,"[31.000000,29.000000,20.000000,47.000000]",31.000000
1500,150180,18.500000,"[0.000000,0.000000,0.000000,74.000000]",74.000000
1600,160169,29.500000,"[4.000000,0.000000,59.000000,55.000000]",59.000000
1700,170102,33.000000,"[0.000000,33.000000,99.000000,0.000000]",33.000000
1800,180103,32.750000,"[44.000000,41.000000,0.000000,46.000000]",44.000000
1900,190188,29.750000,"[59.000000,0.000000,58.000000,2.000000]",2.000000
2000,200127,35.750000,"[23.000000,55.000000,49.000000,16.000000]",23.000000
2100,210158,30.750000,"[27.000000,34.000000,2.000000,60.000000]",34.000000
2200,220176,26.500000,"[1.000000,0.000000,31.000000,74.000000]",74.000000
2300,230118,35.000000,"[44.000000,28.000000,34.000000,34.000000]",28.000000
2400,240102,34.500000,"[37.000000,52.000000,33.000000,16.000000]",52.000000
2500,250198,27.750000,"[57.000000,54.000000,0.000000,0.000000]",54.000000
2600,260198,36.750000,"[50.000000,36.000000,30.000000,31.000000]",36.000000
2700,270103,29.750000,"[44.000000,34.000000,0.000000,41.000000]",44.000000
2800,280118,36.000000,"[53.000000,21.000000,31.000000,39.000000]",21.000000
2900,290132,25.750000,"[25.000000,24.000000,34.000000,20.000000]",20.000000
3000,300149,36.000000,"[34.000000,34.000000,22.000000,54.000000]",22.000000
3100,310141,32.250000,"[43.000000,28.000000,15.000000,43.000000]",15.000000
3200,320141,24.500000,"[27.000000,24.000000,24.000000,23.000000]",24.000000
3300,330169,33.000000,"[0.000000,44.000000,35.000000,53.000000]",35.000000
3400,340186,30.250000,"[37.000000,41.000000,0.000000,43.000000]",41.000000
3500,350156,28.000000,"[2.000000,56.000000,2.000000,52.000000]",52.000000
3600,360106,32.000000,"[50.000000,41.000000,37.000000,0.000000]",41.000000
3700,370147,17.250000,"[39.000000,0.000000,30.000000,0.000000]",39.000000
3800,380137,30.750000,"[0.000000,0.000000,59.000000,64.000000]",59.000000
