generation,ID,score,rawScores,ownScore
0,165,9.250000,"[0.000000,0.000000,37.000000,0.000000]",37.000000
100,10191,8.500000,"[25.000000,0.000000,9.000000,0.000000]",25.000000
200,20191,35.750000,"[33.000000,50.000000,41.000000,19.000000]",33.000000
300,30168,34.500000,"[42.000000,40.000000,25.000000,31.000000]",31.000000
400,40120,31.250000,"[35.000000,30.000000,0.000000,60.000000]",60.000000
500,50183,35.500000,"[48.000000,19.000000,36.000000,39.000000]",48.000000
600,60141,34.250000,"[0.000000,28.000000,52.000000,57.000000]",52.000000
700,70168,34.500000,"[40.000000,40.000000,30.000000,28.000000]",28.000000
800,80108,34.000000,"[42.000000,61.000000,0.000000,33.000000]",33.000000
900,90109,31.250000,"[30.000000,17.000000,36.000000,42.000000]",36.000000
1000,100189,32.750000,"[25.000000,31.000000,36.000000,39.000000]",36.000000
1100,110193,22.250000,"[17.000000,0.000000,72.000000,0.000000]",72.000000
1200,120132,35.500000,"[0.000000,58.000000,34.000000,50.000000]",50.000000
1300,130198,28.500000,"[33.000000,37.000000,44.000000,0.000000]",37.000000
1400,140187,32.500000,"[42.000000,9.000000,35.000000,44.000000]",42.000000
1500,150194,33.250000,"[43.000000,29.000000,17.000000,44.000000]",29.000000
1600,160107,33.250000,"[66.000000,60.000000,7.000000,0.000000]",66.000000
1700,170125,35.000000,"[28.000000,43.000000,36.000000,33.000000]",36.000000
1800,180155,34.500000,"[37.000000,27.000000,74.000000,0.000000]",37.000000
1900,190166,35.000000,"[47.000000,17.000000,40.000000,36.000000]",17.000000
2000,200149,32.250000,"[11.000000,1.000000,50.000000,67.000000]",50.000000
2100,210130,34.500000,"[20.000000,58.000000,30.000000,30.000000]",58.000000
2200,220149,8.250000,"[0.000000,0.000000,8.000000,25.000000]",8.000000
2300,230139,21.250000,"[32.000000,45.000000,0.000000,8.000000]",32.000000
2400,240187,37.500000,"[30.000000,57.000000,33.000000,30.000000]",30.000000
2500,250186,33.500000,"[20.000000,40.000000,51.000000,23.000000]",40.000000
2600,260160,35.000000,"[39.000000,46.000000,0.000000,55.000000]",55.000000
2700,270125,27.750000,"[10.000000,40.000000,52.000000,9.000000]",52.000000
2800,280153,34.750000,"[72.000000,37.000000,30.000000,0.000000]",30.000000
2900,290158,36.250000,"[48.000000,32.000000,32.000000,33.000000]",32.000000
