generation,ID,score,rawScores,ownScore
0,138,13.000000,"[13.000000,19.000000,16.000000,16.000000]",13.000000
100,10138,27.000000,"[27.000000,30.000000,33.000000,29.000000]",27.000000
200,20179,31.000000,"[35.000000,37.000000,31.000000,40.000000]",31.000000
300,30187,32.000000,"[38.000000,32.000000,38.000000,35.000000]",32.000000
400,40102,29.000000,"[29.000000,31.000000,29.000000,35.000000]",29.000000
500,50141,34.000000,"[34.000000,34.000000,35.000000,40.000000]",34.000000
600,60161,36.000000,"[39.000000,40.000000,38.000000,36.000000]",36.000000
700,70149,36.000000,"[36.000000,37.000000,40.000000,36.000000]",36.000000
800,80157,32.000000,"[32.000000,33.000000,42.000000,42.000000]",32.000000
900,90159,31.000000,"[38.000000,31.000000,40.000000,39.000000]",31.000000
1000,100191,36.000000,"[42.000000,38.000000,36.000000,37.000000]",36.000000
1100,110148,33.000000,"[41.000000,39.000000,34.000000,33.000000]",33.000000
1200,120129,30.000000,"[36.000000,41.000000,30.000000,41.000000]",30.000000
1300,130175,32.000000,"[39.000000,37.000000,38.000000,32.000000]",32.000000
1400,140193,35.000000,"[35.000000,42.000000,36.000000,36.000000]",35.000000
1500,150123,35.000000,"[39.000000,35.000000,35.000000,41.000000]",35.000000
1600,160117,35.000000,"[37.000000,37.000000,41.000000,35.000000]",35.000000
1700,170130,32.000000,"[32.000000,40.000000,37.000000,38.000000]",32.000000
1800,180113,34.000000,"[34.000000,34.000000,39.000000,40.000000]",34.000000
1900,190196,34.000000,"[39.000000,34.000000,40.000000,39.000000]",34.000000
2000,200146,37.000000,"[38.000000,37.000000,37.000000,37.000000]",37.000000
2100,210195,33.000000,"[40.000000,35.000000,39.000000,33.000000]",33.000000
2200,220120,36.000000,"[38.000000,38.000000,37.000000,36.000000]",36.000000
2300,230161,34.000000,"[42.000000,36.000000,34.000000,35.000000]",34.000000
2400,240101,31.000000,"[36.000000,42.000000,31.000000,41.000000]",31.000000
2500,250181,36.000000,"[36.000000,37.000000,38.000000,38.000000]",36.000000
2600,260146,36.000000,"[36.000000,36.000000,38.000000,38.000000]",36.000000
2700,270111,35.000000,"[35.000000,39.000000,36.000000,35.000000]",35.000000
2800,280155,33.000000,"[39.000000,37.000000,33.000000,39.000000]",33.000000
2900,290190,32.000000,"[37.000000,41.000000,32.000000,41.000000]",32.000000
3000,300150,36.000000,"[38.000000,38.000000,40.000000,36.000000]",36.000000
3100,310188,33.000000,"[38.000000,41.000000,33.000000,35.000000]",33.000000
3200,320136,36.000000,"[39.000000,36.000000,36.000000,37.000000]",36.000000
3300,330107,32.000000,"[35.000000,42.000000,32.000000,39.000000]",32.000000
3400,340154,32.000000,"[37.000000,32.000000,39.000000,40.000000]",32.000000
3500,350120,34.000000,"[34.000000,39.000000,38.000000,38.000000]",34.000000
3600,360101,34.000000,"[39.000000,36.000000,34.000000,39.000000]",34.000000
3700,370106,34.000000,"[38.000000,34.000000,41.000000,35.000000]",34.000000
3800,380128,35.000000,"[38.000000,35.000000,39.000000,36.000000]",35.000000
3900,390102,36.000000,"[40.000000,38.000000,37.000000,36.000000]",36.000000
4000,400141,36.000000,"[36.000000,38.000000,37.000000,38.000000]",36.000000
4100,410111,34.000000,"[40.000000,41.000000,34.000000,36.000000]",34.000000
4200,420156,34.000000,"[34.000000,42.000000,38.000000,34.000000]",34.000000
4300,430125,31.000000,"[40.000000,42.000000,31.000000,34.000000]",31.000000
4400,440173,34.000000,"[34.000000,37.000000,38.000000,36.000000]",34.000000
4500,450108,36.000000,"[36.000000,36.000000,37.000000,37.000000]",36.000000
4600,460189,36.000000,"[36.000000,38.000000,37.000000,36.000000]",36.000000
4700,470199,34.000000,"[38.000000,41.000000,36.000000,34.000000]",34.000000
4800,480157,32.000000,"[37.000000,37.000000,43.000000,32.000000]",32.000000
4900,490165,33.000000,"[36.000000,33.000000,43.000000,40.000000]",33.000000
5000,500122,34.000000,"[35.000000,34.000000,40.000000,38.000000]",34.000000
5100,510110,37.000000,"[37.000000,37.000000,38.000000,38.000000]",37.000000
5200,520189,34.000000,"[34.000000,38.000000,35.000000,40.000000]",34.000000
5300,530107,36.000000,"[36.000000,36.000000,37.000000,38.000000]",36.000000
5400,540142,36.000000,"[39.000000,36.000000,38.000000,37.000000]",36.000000
5500,550149,34.000000,"[38.000000,34.000000,38.000000,37.000000]",34.000000
5600,560175,37.000000,"[37.000000,37.000000,41.000000,38.000000]",37.000000
5700,570123,36.000000,"[39.000000,36.000000,38.000000,37.000000]",36.000000
5800,580184,34.000000,"[41.000000,34.000000,35.000000,38.000000]",34.000000
5900,590151,35.000000,"[35.000000,37.000000,38.000000,36.000000]",35.000000
6000,600195,35.000000,"[35.000000,40.000000,40.000000,35.000000]",35.000000
6100,610115,36.000000,"[37.000000,39.000000,36.000000,36.000000]",36.000000
6200,620117,32.000000,"[42.000000,33.000000,32.000000,42.000000]",32.000000
6300,630168,35.000000,"[35.000000,40.000000,36.000000,40.000000]",35.000000
6400,640134,23.000000,"[30.000000,29.000000,23.000000,30.000000]",23.000000
6500,650124,32.000000,"[37.000000,42.000000,32.000000,40.000000]",32.000000
6600,660145,36.000000,"[36.000000,37.000000,38.000000,36.000000]",36.000000
6700,670167,33.000000,"[39.000000,37.000000,37.000000,33.000000]",33.000000
6800,680178,35.000000,"[35.000000,40.000000,38.000000,39.000000]",35.000000
6900,690159,33.000000,"[44.000000,36.000000,33.000000,34.000000]",33.000000
7000,700149,32.000000,"[36.000000,32.000000,37.000000,37.000000]",32.000000
7100,710119,36.000000,"[40.000000,38.000000,36.000000,36.000000]",36.000000
7200,720186,35.000000,"[35.000000,39.000000,40.000000,35.000000]",35.000000
7300,730128,33.000000,"[39.000000,33.000000,35.000000,40.000000]",33.000000
7400,740176,38.000000,"[39.000000,38.000000,38.000000,38.000000]",38.000000
7500,750151,34.000000,"[37.000000,37.000000,40.000000,34.000000]",34.000000
7600,760120,34.000000,"[34.000000,41.000000,34.000000,36.000000]",34.000000
7700,770143,35.000000,"[36.000000,35.000000,35.000000,41.000000]",35.000000
7800,780104,33.000000,"[41.000000,33.000000,37.000000,36.000000]",33.000000
7900,790153,31.000000,"[39.000000,31.000000,40.000000,38.000000]",31.000000
8000,800128,37.000000,"[37.000000,38.000000,37.000000,37.000000]",37.000000
8100,810101,36.000000,"[37.000000,37.000000,36.000000,39.000000]",36.000000
8200,820187,31.000000,"[41.000000,31.000000,36.000000,38.000000]",31.000000
8300,830173,35.000000,"[38.000000,35.000000,35.000000,37.000000]",35.000000
8400,840147,33.000000,"[40.000000,35.000000,37.000000,33.000000]",33.000000
8500,850150,32.000000,"[40.000000,32.000000,37.000000,38.000000]",32.000000
8600,860142,35.000000,"[36.000000,35.000000,35.000000,39.000000]",35.000000
8700,870188,35.000000,"[38.000000,40.000000,35.000000,39.000000]",35.000000
8800,880164,34.000000,"[35.000000,34.000000,40.000000,38.000000]",34.000000
8900,890143,35.000000,"[38.000000,35.000000,37.000000,37.000000]",35.000000
9000,900172,35.000000,"[39.000000,35.000000,37.000000,38.000000]",35.000000
