generation,ID,score,rawScores,ownScore
0,168,14.000000,"[14.000000,15.000000,14.000000,15.000000]",14.000000
100,10127,32.000000,"[38.000000,34.000000,32.000000,37.000000]",32.000000
200,20119,30.000000,"[38.000000,32.000000,35.000000,30.000000]",30.000000
300,30198,32.000000,"[32.000000,36.000000,39.000000,38.000000]",32.000000
400,40148,34.000000,"[38.000000,41.000000,38.000000,34.000000]",34.000000
500,50161,34.000000,"[34.000000,36.000000,38.000000,37.000000]",34.000000
600,60113,33.000000,"[41.000000,33.000000,37.000000,38.000000]",33.000000
700,70158,35.000000,"[35.000000,38.000000,40.000000,35.000000]",35.000000
800,80135,34.000000,"[34.000000,38.000000,41.000000,36.000000]",34.000000
900,90143,33.000000,"[33.000000,35.000000,39.000000,40.000000]",33.000000
1000,100138,36.000000,"[38.000000,37.000000,36.000000,36.000000]",36.000000
1100,110179,33.000000,"[40.000000,39.000000,33.000000,38.000000]",33.000000
1200,120124,32.000000,"[32.000000,40.000000,36.000000,44.000000]",32.000000
1300,130118,35.000000,"[37.000000,35.000000,38.000000,39.000000]",35.000000
1400,140155,35.000000,"[36.000000,41.000000,35.000000,35.000000]",35.000000
1500,150112,34.000000,"[37.000000,41.000000,34.000000,35.000000]",34.000000
1600,160120,36.000000,"[36.000000,37.000000,37.000000,40.000000]",36.000000
1700,170158,33.000000,"[36.000000,39.000000,39.000000,33.000000]",33.000000
1800,180107,36.000000,"[37.000000,39.000000,36.000000,38.000000]",36.000000
1900,190148,33.000000,"[35.000000,37.000000,33.000000,42.000000]",33.000000
2000,200156,36.000000,"[37.000000,37.000000,36.000000,41.000000]",36.000000
2100,210136,34.000000,"[35.000000,34.000000,38.000000,40.000000]",34.000000
2200,220108,31.000000,"[40.000000,37.000000,31.000000,36.000000]",31.000000
2300,230195,33.000000,"[35.000000,33.000000,37.000000,44.000000]",33.000000
2400,240126,30.000000,"[30.000000,41.000000,39.000000,39.000000]",30.000000
2500,250199,34.000000,"[36.000000,34.000000,39.000000,37.000000]",34.000000
2600,260100,33.000000,"[33.000000,35.000000,36.000000,39.000000]",33.000000
2700,270125,32.000000,"[32.000000,40.000000,37.000000,37.000000]",32.000000
2800,280134,34.000000,"[44.000000,36.000000,34.000000,36.000000]",34.000000
2900,290175,35.000000,"[38.000000,36.000000,35.000000,40.000000]",35.000000
3000,300176,33.000000,"[39.000000,33.000000,37.000000,41.000000]",33.000000
3100,310179,33.000000,"[39.000000,41.000000,33.000000,34.000000]",33.000000
3200,320193,34.000000,"[37.000000,36.000000,36.000000,34.000000]",34.000000
3300,330116,34.000000,"[40.000000,34.000000,37.000000,36.000000]",34.000000
3400,340162,32.000000,"[39.000000,42.000000,34.000000,32.000000]",32.000000
3500,350140,35.000000,"[36.000000,40.000000,35.000000,35.000000]",35.000000
3600,360100,32.000000,"[39.000000,40.000000,34.000000,32.000000]",32.000000
3700,370103,34.000000,"[36.000000,40.000000,34.000000,37.000000]",34.000000
3800,380136,33.000000,"[37.000000,38.000000,38.000000,33.000000]",33.000000
3900,390141,35.000000,"[40.000000,35.000000,40.000000,35.000000]",35.000000
4000,400130,35.000000,"[38.000000,38.000000,35.000000,36.000000]",35.000000
4100,410175,36.000000,"[38.000000,39.000000,36.000000,38.000000]",36.000000
4200,420150,35.000000,"[36.000000,39.000000,41.000000,35.000000]",35.000000
4300,430189,33.000000,"[40.000000,33.000000,40.000000,37.000000]",33.000000
4400,440178,36.000000,"[36.000000,37.000000,37.000000,38.000000]",36.000000
4500,450198,32.000000,"[36.000000,39.000000,32.000000,40.000000]",32.000000
4600,460114,35.000000,"[35.000000,36.000000,36.000000,39.000000]",35.000000
4700,470167,36.000000,"[37.000000,38.000000,37.000000,36.000000]",36.000000
4800,480186,35.000000,"[37.000000,35.000000,36.000000,40.000000]",35.000000
4900,490103,35.000000,"[37.000000,41.000000,35.000000,38.000000]",35.000000
5000,500162,35.000000,"[36.000000,35.000000,35.000000,40.000000]",35.000000
5100,510178,35.000000,"[35.000000,38.000000,38.000000,38.000000]",35.000000
5200,520131,34.000000,"[38.000000,37.000000,38.000000,34.000000]",34.000000
5300,530190,35.000000,"[39.000000,39.000000,35.000000,35.000000]",35.000000
5400,540104,35.000000,"[37.000000,36.000000,35.000000,36.000000]",35.000000
5500,550100,34.000000,"[36.000000,38.000000,42.000000,34.000000]",34.000000
5600,560104,35.000000,"[40.000000,35.000000,36.000000,40.000000]",35.000000
5700,570160,35.000000,"[37.000000,35.000000,35.000000,39.000000]",35.000000
5800,580113,36.000000,"[39.000000,37.000000,39.000000,36.000000]",36.000000
5900,590178,37.000000,"[37.000000,37.000000,38.000000,38.000000]",37.000000
6000,600188,35.000000,"[39.000000,36.000000,35.000000,38.000000]",35.000000
6100,610152,33.000000,"[39.000000,38.000000,33.000000,41.000000]",33.000000
6200,620189,34.000000,"[40.000000,36.000000,34.000000,36.000000]",34.000000
6300,630199,35.000000,"[37.000000,35.000000,37.000000,39.000000]",35.000000
6400,640136,36.000000,"[36.000000,37.000000,36.000000,36.000000]",36.000000
6500,650100,33.000000,"[42.000000,35.000000,34.000000,33.000000]",33.000000
6600,660140,35.000000,"[35.000000,39.000000,40.000000,38.000000]",35.000000
6700,670176,35.000000,"[38.000000,38.000000,35.000000,37.000000]",35.000000
6800,680193,36.000000,"[36.000000,36.000000,37.000000,36.000000]",36.000000
6900,690158,32.000000,"[36.000000,35.000000,43.000000,32.000000]",32.000000
7000,700123,34.000000,"[38.000000,38.000000,34.000000,37.000000]",34.000000
7100,710161,35.000000,"[38.000000,39.000000,37.000000,35.000000]",35.000000
7200,720139,34.000000,"[40.000000,37.000000,34.000000,34.000000]",34.000000
7300,730137,35.000000,"[38.000000,38.000000,41.000000,35.000000]",35.000000
7400,740110,32.000000,"[37.000000,32.000000,40.000000,38.000000]",32.000000
7500,750130,34.000000,"[36.000000,35.000000,34.000000,43.000000]",34.000000
7600,760181,34.000000,"[37.000000,34.000000,36.000000,43.000000]",34.000000
7700,770171,33.000000,"[37.000000,33.000000,43.000000,38.000000]",33.000000
7800,780152,36.000000,"[36.000000,37.000000,39.000000,37.000000]",36.000000
7900,790139,33.000000,"[33.000000,41.000000,41.000000,37.000000]",33.000000
8000,800100,33.000000,"[43.000000,41.000000,33.000000,33.000000]",33.000000
8100,810126,34.000000,"[34.000000,34.000000,41.000000,39.000000]",34.000000
8200,820129,30.000000,"[30.000000,39.000000,42.000000,40.000000]",30.000000
8300,830106,32.000000,"[44.000000,32.000000,40.000000,34.000000]",32.000000
8400,840100,35.000000,"[36.000000,35.000000,37.000000,37.000000]",35.000000
8500,850175,34.000000,"[40.000000,40.000000,34.000000,34.000000]",34.000000
8600,860179,34.000000,"[34.000000,38.000000,41.000000,37.000000]",34.000000
8700,870181,35.000000,"[37.000000,35.000000,37.000000,38.000000]",35.000000
8800,880134,26.000000,"[41.000000,40.000000,40.000000,26.000000]",26.000000
8900,890164,33.000000,"[38.000000,41.000000,33.000000,36.000000]",33.000000
9000,900107,34.000000,"[37.000000,37.000000,34.000000,41.000000]",34.000000
9100,910173,34.000000,"[38.000000,37.000000,38.000000,34.000000]",34.000000
9200,920100,36.000000,"[36.000000,39.000000,39.000000,37.000000]",36.000000
9300,930179,30.000000,"[38.000000,30.000000,40.000000,39.000000]",30.000000
9400,940126,34.000000,"[37.000000,35.000000,34.000000,42.000000]",34.000000
9500,950162,35.000000,"[43.000000,35.000000,36.000000,35.000000]",35.000000
9600,960160,35.000000,"[35.000000,36.000000,40.000000,37.000000]",35.000000
9700,970101,33.000000,"[37.000000,39.000000,33.000000,38.000000]",33.000000
9800,980114,33.000000,"[36.000000,39.000000,33.000000,36.000000]",33.000000
9900,990119,33.000000,"[42.000000,37.000000,33.000000,38.000000]",33.000000
10000,1000100,31.000000,"[31.000000,39.000000,40.000000,38.000000]",31.000000
10100,1010148,34.000000,"[41.000000,37.000000,37.000000,34.000000]",34.000000
10200,1020148,35.000000,"[35.000000,38.000000,36.000000,42.000000]",35.000000
10300,1030114,35.000000,"[37.000000,38.000000,35.000000,36.000000]",35.000000
10400,1040123,38.000000,"[38.000000,40.000000,38.000000,38.000000]",38.000000
10500,1050161,35.000000,"[38.000000,35.000000,37.000000,39.000000]",35.000000
10600,1060177,34.000000,"[40.000000,40.000000,34.000000,38.000000]",34.000000
10700,1070158,35.000000,"[38.000000,35.000000,36.000000,38.000000]",35.000000
10800,1080173,33.000000,"[39.000000,37.000000,33.000000,41.000000]",33.000000
10900,1090184,31.000000,"[39.000000,31.000000,41.000000,38.000000]",31.000000
11000,1100162,36.000000,"[37.000000,38.000000,36.000000,36.000000]",36.000000
11100,1110149,35.000000,"[38.000000,39.000000,35.000000,38.000000]",35.000000
11200,1120142,37.000000,"[37.000000,39.000000,37.000000,40.000000]",37.000000
11300,1130186,35.000000,"[38.000000,37.000000,39.000000,35.000000]",35.000000
11400,1140144,34.000000,"[34.000000,35.000000,36.000000,38.000000]",34.000000
11500,1150190,35.000000,"[37.000000,41.000000,35.000000,35.000000]",35.000000
11600,1160139,34.000000,"[35.000000,43.000000,34.000000,38.000000]",34.000000
11700,1170158,34.000000,"[34.000000,43.000000,34.000000,40.000000]",34.000000
11800,1180186,36.000000,"[40.000000,36.000000,39.000000,39.000000]",36.000000
11900,1190153,33.000000,"[40.000000,38.000000,33.000000,39.000000]",33.000000
12000,1200188,34.000000,"[37.000000,34.000000,37.000000,43.000000]",34.000000
12100,1210155,30.000000,"[42.000000,40.000000,30.000000,38.000000]",30.000000
12200,1220102,37.000000,"[38.000000,37.000000,38.000000,37.000000]",37.000000
12300,1230136,34.000000,"[35.000000,34.000000,41.000000,38.000000]",34.000000
12400,1240127,32.000000,"[37.000000,41.000000,41.000000,32.000000]",32.000000
