generation,ID,score,rawScores,ownScore
0,117,9.750000,"[9.000000,9.000000,11.000000,10.000000]",9.750000
100,10100,37.250000,"[21.000000,36.000000,42.000000,50.000000]",37.250000
200,20106,38.000000,"[33.000000,40.000000,31.000000,48.000000]",38.000000
300,30182,36.500000,"[28.000000,55.000000,23.000000,40.000000]",36.500000
400,40110,36.750000,"[29.000000,35.000000,51.000000,32.000000]",36.750000
500,50155,35.750000,"[24.000000,43.000000,37.000000,39.000000]",35.750000
600,60182,37.750000,"[36.000000,47.000000,34.000000,34.000000]",37.750000
700,70121,37.250000,"[40.000000,25.000000,41.000000,43.000000]",37.250000
800,80159,37.500000,"[37.000000,39.000000,37.000000,37.000000]",37.500000
900,90127,37.500000,"[38.000000,49.000000,38.000000,25.000000]",37.500000
1000,100179,37.250000,"[49.000000,36.000000,35.000000,29.000000]",37.250000
1100,110177,36.500000,"[34.000000,39.000000,34.000000,39.000000]",36.500000
1200,120143,37.250000,"[31.000000,39.000000,34.000000,45.000000]",37.250000
1300,130147,38.250000,"[37.000000,38.000000,46.000000,32.000000]",38.250000
1400,140123,37.500000,"[31.000000,39.000000,44.000000,36.000000]",37.500000
1500,150158,37.250000,"[32.000000,35.000000,42.000000,40.000000]",37.250000
1600,160186,36.250000,"[32.000000,38.000000,44.000000,31.000000]",36.250000
1700,170195,36.750000,"[44.000000,39.000000,42.000000,22.000000]",36.750000
1800,180188,37.250000,"[33.000000,30.000000,47.000000,39.000000]",37.250000
1900,190191,37.000000,"[24.000000,52.000000,44.000000,28.000000]",37.000000
2000,200115,37.500000,"[28.000000,38.000000,42.000000,42.000000]",37.500000
2100,210109,37.500000,"[29.000000,37.000000,52.000000,32.000000]",37.500000
2200,220105,37.250000,"[34.000000,31.000000,41.000000,43.000000]",37.250000
2300,230137,37.750000,"[43.000000,41.000000,41.000000,26.000000]",37.750000
2400,240163,37.750000,"[41.000000,27.000000,45.000000,38.000000]",37.750000
2500,250119,36.750000,"[40.000000,31.000000,34.000000,42.000000]",36.750000
2600,260184,37.750000,"[31.000000,42.000000,41.000000,37.000000]",37.750000
2700,270100,37.500000,"[28.000000,37.000000,54.000000,31.000000]",37.500000
2800,280197,36.750000,"[37.000000,31.000000,42.000000,37.000000]",36.750000
2900,290159,36.250000,"[40.000000,29.000000,46.000000,30.000000]",36.250000
3000,300168,35.500000,"[20.000000,33.000000,42.000000,47.000000]",35.500000
3100,310100,36.750000,"[36.000000,45.000000,38.000000,28.000000]",36.750000
3200,320144,37.500000,"[32.000000,49.000000,25.000000,44.000000]",37.500000
3300,330157,36.750000,"[28.000000,37.000000,33.000000,49.000000]",36.750000
3400,340163,35.500000,"[46.000000,36.000000,28.000000,32.000000]",35.500000
3500,350139,36.500000,"[24.000000,48.000000,34.000000,40.000000]",36.500000
3600,360132,36.750000,"[38.000000,34.000000,45.000000,30.000000]",36.750000
3700,370163,37.000000,"[44.000000,32.000000,33.000000,39.000000]",37.000000
3800,380184,34.750000,"[44.000000,40.000000,20.000000,35.000000]",34.750000
3900,390176,38.000000,"[32.000000,50.000000,34.000000,36.000000]",38.000000
4000,400197,37.500000,"[39.000000,36.000000,35.000000,40.000000]",37.500000
4100,410144,37.000000,"[38.000000,47.000000,33.000000,30.000000]",37.000000
4200,420102,36.250000,"[33.000000,40.000000,36.000000,36.000000]",36.250000
4300,430156,37.750000,"[33.000000,34.000000,36.000000,48.000000]",37.750000
4400,440142,36.500000,"[39.000000,27.000000,40.000000,40.000000]",36.500000
