generation,ID,score,rawScores,ownScore
0,176,0.000000,"[0.000000,0.000000,0.000000,2.000000]",2.000000
100,10115,7.000000,"[9.000000,7.000000,9.000000,10.000000]",9.000000
200,20164,8.000000,"[8.000000,8.000000,9.000000,10.000000]",10.000000
300,30130,8.000000,"[10.000000,8.000000,12.000000,8.000000]",8.000000
400,40178,8.000000,"[8.000000,9.000000,11.000000,9.000000]",9.000000
500,50199,7.000000,"[8.000000,7.000000,10.000000,10.000000]",8.000000
600,60189,7.000000,"[11.000000,9.000000,7.000000,8.000000]",7.000000
700,70128,8.000000,"[11.000000,8.000000,9.000000,11.000000]",11.000000
800,80100,8.000000,"[10.000000,8.000000,9.000000,8.000000]",8.000000
900,90140,6.000000,"[10.000000,6.000000,9.000000,10.000000]",10.000000
1000,100166,7.000000,"[7.000000,9.000000,8.000000,10.000000]",9.000000
1100,110168,7.000000,"[7.000000,10.000000,10.000000,9.000000]",9.000000
1200,120163,6.000000,"[6.000000,9.000000,12.000000,9.000000]",6.000000
1300,130139,10.000000,"[11.000000,10.000000,12.000000,10.000000]",11.000000
1400,140126,8.000000,"[8.000000,11.000000,9.000000,9.000000]",11.000000
1500,150100,8.000000,"[8.000000,8.000000,9.000000,9.000000]",9.000000
1600,160199,8.000000,"[11.000000,9.000000,8.000000,10.000000]",11.000000
1700,170100,9.000000,"[9.000000,9.000000,11.000000,11.000000]",11.000000
1800,180130,8.000000,"[10.000000,8.000000,10.000000,10.000000]",8.000000
1900,190106,9.000000,"[9.000000,10.000000,10.000000,10.000000]",10.000000
2000,200128,9.000000,"[10.000000,9.000000,10.000000,9.000000]",9.000000
2100,210182,9.000000,"[9.000000,9.000000,11.000000,11.000000]",9.000000
2200,220146,6.000000,"[9.000000,6.000000,7.000000,9.000000]",6.000000
2300,230158,8.000000,"[11.000000,8.000000,9.000000,10.000000]",8.000000
2400,240199,9.000000,"[10.000000,10.000000,10.000000,9.000000]",10.000000
2500,250198,8.000000,"[8.000000,8.000000,8.000000,9.000000]",8.000000
2600,260152,8.000000,"[8.000000,10.000000,11.000000,9.000000]",9.000000
2700,270106,7.000000,"[11.000000,9.000000,10.000000,7.000000]",9.000000
2800,280127,9.000000,"[10.000000,9.000000,10.000000,10.000000]",10.000000
2900,290174,6.000000,"[6.000000,10.000000,10.000000,9.000000]",10.000000
3000,300192,9.000000,"[10.000000,10.000000,10.000000,9.000000]",9.000000
3100,310113,9.000000,"[10.000000,9.000000,9.000000,9.000000]",9.000000
3200,320120,7.000000,"[8.000000,7.000000,9.000000,9.000000]",9.000000
3300,330130,9.000000,"[9.000000,10.000000,10.000000,9.000000]",10.000000
3400,340175,7.000000,"[11.000000,9.000000,9.000000,7.000000]",11.000000
3500,350110,7.000000,"[10.000000,7.000000,9.000000,11.000000]",7.000000
3600,360153,8.000000,"[11.000000,10.000000,8.000000,8.000000]",8.000000
3700,370169,6.000000,"[9.000000,12.000000,10.000000,6.000000]",10.000000
3800,380179,6.000000,"[8.000000,9.000000,6.000000,10.000000]",8.000000
3900,390100,8.000000,"[10.000000,9.000000,8.000000,11.000000]",11.000000
4000,400166,8.000000,"[8.000000,10.000000,11.000000,8.000000]",10.000000
4100,410140,9.000000,"[9.000000,11.000000,11.000000,9.000000]",9.000000
4200,420104,7.000000,"[9.000000,7.000000,11.000000,11.000000]",11.000000
4300,430186,7.000000,"[9.000000,9.000000,7.000000,7.000000]",9.000000
4400,440184,9.000000,"[9.000000,9.000000,11.000000,9.000000]",9.000000
4500,450156,8.000000,"[8.000000,10.000000,12.000000,10.000000]",10.000000
4600,460185,7.000000,"[7.000000,8.000000,10.000000,12.000000]",10.000000
4700,470108,8.000000,"[11.000000,8.000000,11.000000,9.000000]",9.000000
4800,480122,7.000000,"[7.000000,12.000000,10.000000,10.000000]",12.000000
4900,490100,7.000000,"[10.000000,7.000000,10.000000,9.000000]",9.000000
5000,500198,10.000000,"[12.000000,10.000000,10.000000,11.000000]",10.000000
5100,510136,8.000000,"[9.000000,8.000000,9.000000,12.000000]",12.000000
5200,520143,9.000000,"[10.000000,9.000000,9.000000,9.000000]",10.000000
5300,530192,8.000000,"[9.000000,9.000000,8.000000,9.000000]",9.000000
5400,540172,10.000000,"[10.000000,11.000000,11.000000,11.000000]",11.000000
5500,550100,8.000000,"[10.000000,8.000000,10.000000,11.000000]",11.000000
5600,560109,9.000000,"[10.000000,9.000000,11.000000,11.000000]",11.000000
5700,570108,7.000000,"[9.000000,10.000000,9.000000,7.000000]",7.000000
5800,580100,9.000000,"[9.000000,10.000000,11.000000,9.000000]",9.000000
5900,590143,8.000000,"[10.000000,9.000000,8.000000,10.000000]",10.000000
6000,600110,8.000000,"[8.000000,11.000000,12.000000,11.000000]",11.000000
6100,610127,8.000000,"[8.000000,11.000000,9.000000,9.000000]",8.000000
6200,620100,8.000000,"[10.000000,10.000000,10.000000,8.000000]",8.000000
6300,630147,8.000000,"[8.000000,10.000000,11.000000,11.000000]",8.000000
6400,640145,7.000000,"[10.000000,12.000000,7.000000,7.000000]",7.000000
6500,650145,9.000000,"[9.000000,10.000000,11.000000,9.000000]",11.000000
6600,660118,9.000000,"[9.000000,10.000000,10.000000,11.000000]",10.000000
6700,670153,8.000000,"[11.000000,10.000000,10.000000,8.000000]",10.000000
6800,680121,7.000000,"[10.000000,9.000000,7.000000,12.000000]",7.000000
6900,690100,7.000000,"[9.000000,9.000000,7.000000,11.000000]",11.000000
7000,700190,8.000000,"[8.000000,9.000000,8.000000,8.000000]",9.000000
7100,710178,7.000000,"[10.000000,10.000000,9.000000,7.000000]",10.000000
7200,720155,7.000000,"[8.000000,7.000000,12.000000,8.000000]",8.000000
7300,730137,8.000000,"[10.000000,10.000000,8.000000,9.000000]",8.000000
7400,740151,10.000000,"[11.000000,10.000000,10.000000,10.000000]",11.000000
7500,750125,8.000000,"[8.000000,9.000000,11.000000,10.000000]",11.000000
7600,760161,8.000000,"[8.000000,10.000000,12.000000,9.000000]",12.000000
7700,770185,7.000000,"[11.000000,11.000000,9.000000,7.000000]",9.000000
7800,780142,8.000000,"[11.000000,8.000000,9.000000,10.000000]",8.000000
7900,790178,8.000000,"[8.000000,9.000000,11.000000,9.000000]",9.000000
8000,800100,8.000000,"[9.000000,8.000000,10.000000,9.000000]",9.000000
8100,810152,7.000000,"[7.000000,10.000000,10.000000,11.000000]",11.000000
8200,820127,9.000000,"[9.000000,12.000000,11.000000,10.000000]",9.000000
8300,830196,7.000000,"[8.000000,11.000000,9.000000,7.000000]",7.000000
8400,840145,9.000000,"[9.000000,9.000000,11.000000,9.000000]",11.000000
8500,850159,9.000000,"[10.000000,10.000000,9.000000,12.000000]",10.000000
8600,860121,7.000000,"[10.000000,9.000000,7.000000,11.000000]",7.000000
8700,870191,8.000000,"[8.000000,11.000000,10.000000,9.000000]",8.000000
8800,880199,6.000000,"[12.000000,6.000000,11.000000,11.000000]",12.000000
8900,890128,6.000000,"[12.000000,10.000000,10.000000,6.000000]",6.000000
9000,900128,9.000000,"[9.000000,10.000000,11.000000,10.000000]",10.000000
9100,910138,7.000000,"[8.000000,7.000000,10.000000,9.000000]",7.000000
9200,920167,7.000000,"[10.000000,10.000000,11.000000,7.000000]",10.000000
9300,930153,7.000000,"[7.000000,9.000000,7.000000,9.000000]",7.000000
9400,940150,8.000000,"[10.000000,8.000000,10.000000,9.000000]",8.000000
9500,950119,8.000000,"[8.000000,11.000000,11.000000,9.000000]",8.000000
9600,960173,8.000000,"[9.000000,11.000000,11.000000,8.000000]",11.000000
9700,970178,7.000000,"[10.000000,8.000000,7.000000,9.000000]",8.000000
9800,980116,7.000000,"[9.000000,7.000000,9.000000,9.000000]",9.000000
9900,990193,8.000000,"[10.000000,10.000000,8.000000,8.000000]",8.000000
10000,1000132,9.000000,"[9.000000,10.000000,9.000000,9.000000]",9.000000
10100,1010144,7.000000,"[11.000000,7.000000,11.000000,7.000000]",7.000000
10200,1020187,16.000000,"[19.000000,16.000000,20.000000,16.000000]",19.000000
10300,1030111,12.000000,"[12.000000,13.000000,49.000000,13.000000]",12.000000
10400,1040196,7.000000,"[9.000000,10.000000,7.000000,11.000000]",11.000000
10500,1050197,8.000000,"[9.000000,10.000000,8.000000,12.000000]",8.000000
10600,1060186,9.000000,"[10.000000,9.000000,11.000000,10.000000]",9.000000
10700,1070185,6.000000,"[8.000000,10.000000,9.000000,6.000000]",9.000000
10800,1080100,8.000000,"[11.000000,8.000000,9.000000,10.000000]",10.000000
10900,1090129,7.000000,"[8.000000,7.000000,10.000000,9.000000]",10.000000
11000,1100166,8.000000,"[9.000000,11.000000,8.000000,9.000000]",11.000000
11100,1110120,8.000000,"[8.000000,10.000000,8.000000,9.000000]",9.000000
11200,1120188,8.000000,"[8.000000,10.000000,11.000000,12.000000]",12.000000
11300,1130173,10.000000,"[11.000000,10.000000,12.000000,10.000000]",12.000000
11400,1140122,7.000000,"[12.000000,7.000000,11.000000,11.000000]",7.000000
11500,1150199,8.000000,"[10.000000,8.000000,11.000000,10.000000]",10.000000
11600,1160104,8.000000,"[11.000000,11.000000,10.000000,8.000000]",8.000000
11700,1170166,8.000000,"[8.000000,10.000000,9.000000,11.000000]",10.000000
11800,1180166,7.000000,"[10.000000,7.000000,9.000000,8.000000]",7.000000
11900,1190139,9.000000,"[9.000000,10.000000,11.000000,11.000000]",9.000000
12000,1200196,8.000000,"[8.000000,10.000000,9.000000,10.000000]",10.000000
12100,1210103,7.000000,"[7.000000,8.000000,11.000000,10.000000]",7.000000
12200,1220123,7.000000,"[7.000000,10.000000,11.000000,10.000000]",7.000000
12300,1230166,9.000000,"[9.000000,11.000000,12.000000,9.000000]",11.000000
12400,1240104,8.000000,"[9.000000,8.000000,9.000000,8.000000]",8.000000
12500,1250121,8.000000,"[12.000000,8.000000,9.000000,9.000000]",9.000000
12600,1260124,7.000000,"[9.000000,8.000000,8.000000,7.000000]",7.000000
12700,1270105,8.000000,"[11.000000,10.000000,8.000000,10.000000]",8.000000
12800,1280114,9.000000,"[9.000000,10.000000,11.000000,9.000000]",10.000000
12900,1290140,8.000000,"[11.000000,10.000000,9.000000,8.000000]",8.000000
13000,1300100,8.000000,"[9.000000,11.000000,9.000000,8.000000]",8.000000
13100,1310181,8.000000,"[10.000000,8.000000,10.000000,10.000000]",10.000000
13200,1320197,9.000000,"[10.000000,9.000000,10.000000,11.000000]",10.000000
13300,1330171,8.000000,"[11.000000,10.000000,8.000000,11.000000]",11.000000
13400,1340103,8.000000,"[8.000000,10.000000,11.000000,8.000000]",8.000000
13500,1350133,7.000000,"[9.000000,9.000000,7.000000,10.000000]",7.000000
13600,1360113,8.000000,"[11.000000,8.000000,10.000000,11.000000]",10.000000
13700,1370175,9.000000,"[10.000000,9.000000,10.000000,9.000000]",10.000000
13800,1380174,7.000000,"[9.000000,9.000000,7.000000,11.000000]",9.000000
13900,1390124,6.000000,"[11.000000,10.000000,10.000000,6.000000]",6.000000
14000,1400135,8.000000,"[11.000000,8.000000,10.000000,9.000000]",11.000000
14100,1410104,7.000000,"[7.000000,12.000000,10.000000,9.000000]",9.000000
14200,1420100,7.000000,"[9.000000,11.000000,7.000000,10.000000]",10.000000
14300,1430119,9.000000,"[9.000000,10.000000,10.000000,10.000000]",9.000000
14400,1440125,8.000000,"[9.000000,11.000000,8.000000,9.000000]",8.000000
14500,1450100,6.000000,"[11.000000,12.000000,6.000000,10.000000]",10.000000
14600,1460199,9.000000,"[10.000000,10.000000,9.000000,12.000000]",10.000000
14700,1470100,7.000000,"[9.000000,12.000000,7.000000,10.000000]",10.000000
14800,1480193,8.000000,"[10.000000,10.000000,9.000000,8.000000]",9.000000
14900,1490139,9.000000,"[9.000000,10.000000,9.000000,10.000000]",9.000000
15000,1500180,9.000000,"[10.000000,10.000000,11.000000,9.000000]",9.000000
15100,1510197,8.000000,"[9.000000,10.000000,8.000000,10.000000]",8.000000
15200,1520145,6.000000,"[9.000000,8.000000,6.000000,11.000000]",6.000000
15300,1530100,8.000000,"[11.000000,11.000000,8.000000,8.000000]",8.000000
15400,1540153,7.000000,"[7.000000,9.000000,8.000000,7.000000]",8.000000
15500,1550199,6.000000,"[8.000000,11.000000,10.000000,6.000000]",8.000000
15600,1560196,5.000000,"[9.000000,8.000000,11.000000,5.000000]",5.000000
15700,1570116,9.000000,"[9.000000,9.000000,9.000000,10.000000]",10.000000
15800,1580100,7.000000,"[9.000000,7.000000,7.000000,10.000000]",10.000000
15900,1590194,7.000000,"[9.000000,9.000000,8.000000,7.000000]",9.000000
16000,1600155,7.000000,"[7.000000,11.000000,10.000000,11.000000]",7.000000
16100,1610145,8.000000,"[8.000000,9.000000,9.000000,9.000000]",9.000000
16200,1620102,9.000000,"[11.000000,9.000000,10.000000,10.000000]",9.000000
16300,1630105,8.000000,"[11.000000,8.000000,11.000000,9.000000]",11.000000
16400,1640149,9.000000,"[9.000000,9.000000,10.000000,11.000000]",10.000000
16500,1650139,8.000000,"[10.000000,11.000000,8.000000,8.000000]",10.000000
16600,1660125,8.000000,"[8.000000,8.000000,8.000000,9.000000]",8.000000
16700,1670170,8.000000,"[8.000000,10.000000,9.000000,11.000000]",10.000000
16800,1680145,8.000000,"[9.000000,10.000000,12.000000,8.000000]",12.000000
16900,1690141,8.000000,"[9.000000,9.000000,8.000000,9.000000]",8.000000
17000,1700196,8.000000,"[8.000000,11.000000,8.000000,9.000000]",9.000000
17100,1710119,8.000000,"[8.000000,10.000000,10.000000,10.000000]",8.000000
17200,1720114,7.000000,"[11.000000,7.000000,8.000000,11.000000]",7.000000
17300,1730149,8.000000,"[10.000000,8.000000,11.000000,11.000000]",11.000000
17400,1740105,8.000000,"[9.000000,9.000000,8.000000,9.000000]",8.000000
17500,1750136,9.000000,"[9.000000,11.000000,11.000000,10.000000]",10.000000
