generation,ID,score,rawScores,ownScore
0,153,0.000000,"[0.000000,0.000000,9.000000,0.000000]",9.000000
100,10154,7.000000,"[10.000000,9.000000,7.000000,10.000000]",9.000000
200,20195,26.000000,"[26.000000,34.000000,44.000000,38.000000]",26.000000
300,30175,8.000000,"[11.000000,8.000000,8.000000,8.000000]",11.000000
400,40152,35.000000,"[38.000000,36.000000,39.000000,35.000000]",35.000000
500,50167,8.000000,"[39.000000,8.000000,17.000000,24.000000]",39.000000
600,60115,30.000000,"[35.000000,30.000000,41.000000,35.000000]",35.000000
700,70126,28.000000,"[49.000000,28.000000,34.000000,37.000000]",28.000000
800,80139,23.000000,"[23.000000,29.000000,30.000000,62.000000]",23.000000
900,90127,22.000000,"[32.000000,35.000000,50.000000,22.000000]",32.000000
1000,100102,22.000000,"[29.000000,33.000000,60.000000,22.000000]",33.000000
1100,110147,19.000000,"[19.000000,32.000000,56.000000,32.000000]",19.000000
1200,120182,10.000000,"[20.000000,44.000000,34.000000,10.000000]",44.000000
1300,130164,25.000000,"[35.000000,55.000000,25.000000,36.000000]",36.000000
1400,140112,29.000000,"[41.000000,42.000000,29.000000,38.000000]",38.000000
1500,150108,25.000000,"[31.000000,25.000000,59.000000,32.000000]",32.000000
1600,160115,13.000000,"[43.000000,36.000000,13.000000,51.000000]",43.000000
1700,170151,26.000000,"[26.000000,29.000000,59.000000,29.000000]",26.000000
1800,180184,27.000000,"[35.000000,55.000000,27.000000,29.000000]",29.000000
1900,190142,16.000000,"[16.000000,37.000000,59.000000,30.000000]",37.000000
2000,200127,24.000000,"[33.000000,55.000000,24.000000,27.000000]",33.000000
2100,210148,29.000000,"[39.000000,29.000000,34.000000,44.000000]",44.000000
2200,220139,31.000000,"[37.000000,31.000000,35.000000,44.000000]",37.000000
2300,230165,25.000000,"[53.000000,36.000000,28.000000,25.000000]",28.000000
2400,240182,26.000000,"[38.000000,43.000000,40.000000,26.000000]",43.000000
2500,250121,27.000000,"[30.000000,38.000000,27.000000,28.000000]",27.000000
2600,260151,25.000000,"[51.000000,41.000000,29.000000,25.000000]",51.000000
2700,270121,29.000000,"[40.000000,29.000000,32.000000,40.000000]",32.000000
2800,280155,28.000000,"[40.000000,33.000000,47.000000,28.000000]",40.000000
2900,290178,24.000000,"[41.000000,41.000000,24.000000,34.000000]",41.000000
3000,300182,31.000000,"[31.000000,43.000000,33.000000,40.000000]",43.000000
3100,310156,19.000000,"[19.000000,24.000000,42.000000,58.000000]",58.000000
3200,320182,32.000000,"[39.000000,32.000000,35.000000,37.000000]",32.000000
3300,330131,30.000000,"[30.000000,38.000000,38.000000,41.000000]",30.000000
3400,340133,27.000000,"[27.000000,37.000000,47.000000,33.000000]",47.000000
3500,350143,24.000000,"[24.000000,47.000000,39.000000,36.000000]",24.000000
3600,360109,20.000000,"[40.000000,50.000000,28.000000,20.000000]",28.000000
3700,370103,24.000000,"[39.000000,24.000000,44.000000,36.000000]",39.000000
3800,380127,14.000000,"[37.000000,60.000000,14.000000,27.000000]",37.000000
3900,390107,11.000000,"[61.000000,11.000000,11.000000,57.000000]",61.000000
4000,400128,28.000000,"[28.000000,34.000000,40.000000,44.000000]",44.000000
4100,410101,19.000000,"[23.000000,76.000000,19.000000,26.000000]",19.000000
4200,420112,26.000000,"[41.000000,26.000000,29.000000,46.000000]",46.000000
4300,430159,19.000000,"[46.000000,57.000000,24.000000,19.000000]",46.000000
4400,440132,28.000000,"[30.000000,28.000000,38.000000,34.000000]",34.000000
4500,450159,28.000000,"[28.000000,33.000000,42.000000,38.000000]",28.000000
4600,460161,21.000000,"[35.000000,21.000000,28.000000,46.000000]",28.000000
4700,470152,32.000000,"[36.000000,42.000000,32.000000,35.000000]",35.000000
4800,480165,29.000000,"[31.000000,29.000000,47.000000,34.000000]",47.000000
4900,490163,19.000000,"[26.000000,25.000000,50.000000,19.000000]",26.000000
5000,500185,19.000000,"[51.000000,19.000000,48.000000,27.000000]",48.000000
5100,510169,19.000000,"[19.000000,29.000000,28.000000,67.000000]",28.000000
5200,520171,19.000000,"[53.000000,35.000000,40.000000,19.000000]",53.000000
5300,530190,25.000000,"[34.000000,32.000000,52.000000,25.000000]",32.000000
5400,540178,28.000000,"[47.000000,33.000000,38.000000,28.000000]",33.000000
5500,550128,26.000000,"[46.000000,41.000000,31.000000,26.000000]",26.000000
5600,560193,8.000000,"[9.000000,9.000000,8.000000,10.000000]",8.000000
5700,570157,6.000000,"[11.000000,11.000000,6.000000,10.000000]",6.000000
5800,580126,12.000000,"[56.000000,12.000000,38.000000,29.000000]",12.000000
5900,590163,29.000000,"[38.000000,46.000000,30.000000,29.000000]",38.000000
6000,600120,29.000000,"[35.000000,38.000000,48.000000,29.000000]",29.000000
6100,610138,30.000000,"[30.000000,44.000000,35.000000,36.000000]",44.000000
6200,620105,22.000000,"[53.000000,29.000000,22.000000,44.000000]",22.000000
6300,630170,25.000000,"[25.000000,35.000000,31.000000,57.000000]",35.000000
6400,640160,28.000000,"[28.000000,53.000000,31.000000,29.000000]",29.000000
6500,650102,23.000000,"[23.000000,25.000000,56.000000,26.000000]",25.000000
6600,660177,17.000000,"[53.000000,17.000000,36.000000,40.000000]",36.000000
6700,670172,32.000000,"[40.000000,33.000000,32.000000,36.000000]",36.000000
6800,680113,28.000000,"[36.000000,37.000000,28.000000,39.000000]",28.000000
6900,690148,22.000000,"[23.000000,22.000000,29.000000,60.000000]",60.000000
7000,700162,21.000000,"[48.000000,21.000000,24.000000,39.000000]",21.000000
7100,710118,30.000000,"[30.000000,34.000000,35.000000,38.000000]",34.000000
7200,720110,32.000000,"[38.000000,35.000000,32.000000,39.000000]",35.000000
7300,730171,24.000000,"[24.000000,26.000000,26.000000,57.000000]",24.000000
7400,740102,24.000000,"[39.000000,44.000000,29.000000,24.000000]",44.000000
7500,750109,9.000000,"[10.000000,9.000000,9.000000,9.000000]",9.000000
7600,760158,24.000000,"[29.000000,29.000000,24.000000,55.000000]",29.000000
7700,770143,9.000000,"[10.000000,10.000000,9.000000,9.000000]",10.000000
7800,780167,22.000000,"[22.000000,36.000000,31.000000,47.000000]",22.000000
7900,790179,25.000000,"[25.000000,29.000000,59.000000,34.000000]",25.000000
8000,800120,26.000000,"[26.000000,35.000000,36.000000,51.000000]",51.000000
8100,810125,28.000000,"[37.000000,40.000000,40.000000,28.000000]",40.000000
8200,820101,22.000000,"[42.000000,45.000000,22.000000,32.000000]",22.000000
8300,830156,22.000000,"[24.000000,22.000000,32.000000,47.000000]",47.000000
8400,840196,17.000000,"[36.000000,17.000000,35.000000,61.000000]",61.000000
8500,850164,9.000000,"[9.000000,10.000000,10.000000,9.000000]",9.000000
8600,860148,17.000000,"[57.000000,17.000000,36.000000,25.000000]",25.000000
8700,870173,25.000000,"[45.000000,35.000000,25.000000,34.000000]",25.000000
8800,880163,29.000000,"[32.000000,40.000000,29.000000,49.000000]",32.000000
8900,890144,25.000000,"[25.000000,25.000000,30.000000,55.000000]",55.000000
9000,900107,25.000000,"[25.000000,39.000000,35.000000,44.000000]",25.000000
9100,910100,22.000000,"[51.000000,22.000000,35.000000,28.000000]",28.000000
9200,920198,26.000000,"[30.000000,50.000000,26.000000,40.000000]",50.000000
9300,930108,6.000000,"[49.000000,6.000000,23.000000,36.000000]",36.000000
9400,940112,31.000000,"[45.000000,32.000000,31.000000,32.000000]",32.000000
9500,950156,27.000000,"[31.000000,46.000000,40.000000,27.000000]",27.000000
9600,960151,20.000000,"[37.000000,57.000000,20.000000,33.000000]",37.000000
9700,970155,27.000000,"[31.000000,27.000000,47.000000,41.000000]",31.000000
9800,980186,29.000000,"[39.000000,45.000000,29.000000,34.000000]",45.000000
9900,990182,26.000000,"[26.000000,28.000000,28.000000,53.000000]",28.000000
10000,1000112,32.000000,"[34.000000,32.000000,39.000000,39.000000]",39.000000
10100,1010112,17.000000,"[64.000000,30.000000,27.000000,17.000000]",17.000000
10200,1020156,26.000000,"[30.000000,26.000000,60.000000,37.000000]",37.000000
10300,1030153,21.000000,"[53.000000,33.000000,40.000000,21.000000]",40.000000
10400,1040173,30.000000,"[30.000000,44.000000,34.000000,33.000000]",34.000000
10500,1050165,27.000000,"[30.000000,40.000000,27.000000,50.000000]",27.000000
10600,1060100,30.000000,"[33.000000,45.000000,30.000000,39.000000]",39.000000
10700,1070199,24.000000,"[46.000000,29.000000,24.000000,33.000000]",46.000000
10800,1080150,26.000000,"[37.000000,35.000000,26.000000,29.000000]",35.000000
10900,1090111,15.000000,"[30.000000,15.000000,42.000000,47.000000]",30.000000
11000,1100168,29.000000,"[39.000000,29.000000,37.000000,37.000000]",37.000000
11100,1110179,17.000000,"[39.000000,17.000000,29.000000,60.000000]",39.000000
11200,1120170,28.000000,"[40.000000,35.000000,28.000000,37.000000]",35.000000
11300,1130160,30.000000,"[33.000000,31.000000,30.000000,33.000000]",33.000000
11400,1140197,26.000000,"[26.000000,30.000000,35.000000,40.000000]",35.000000
11500,1150156,29.000000,"[29.000000,32.000000,46.000000,44.000000]",44.000000
11600,1160121,25.000000,"[52.000000,25.000000,32.000000,40.000000]",32.000000
11700,1170153,34.000000,"[39.000000,34.000000,37.000000,36.000000]",37.000000
11800,1180158,29.000000,"[29.000000,49.000000,29.000000,30.000000]",49.000000
11900,1190107,29.000000,"[31.000000,48.000000,36.000000,29.000000]",31.000000
12000,1200153,27.000000,"[55.000000,30.000000,27.000000,34.000000]",27.000000
12100,1210148,23.000000,"[27.000000,27.000000,64.000000,23.000000]",23.000000
12200,1220193,18.000000,"[35.000000,30.000000,18.000000,51.000000]",18.000000
12300,1230125,28.000000,"[28.000000,37.000000,37.000000,38.000000]",37.000000
12400,1240121,24.000000,"[31.000000,24.000000,25.000000,59.000000]",25.000000
12500,1250101,33.000000,"[33.000000,36.000000,37.000000,40.000000]",37.000000
