generation,ID,score,rawScores,ownScore
0,122,0.000000,"[0.000000,0.000000,0.000000,9.000000]",0.000000
100,10130,8.000000,"[8.000000,10.000000,8.000000,10.000000]",10.000000
200,20158,9.000000,"[9.000000,9.000000,10.000000,25.000000]",9.000000
300,30121,7.000000,"[10.000000,19.000000,7.000000,11.000000]",7.000000
400,40162,7.000000,"[8.000000,7.000000,8.000000,11.000000]",7.000000
500,50193,5.000000,"[10.000000,5.000000,10.000000,9.000000]",10.000000
600,60166,7.000000,"[9.000000,7.000000,9.000000,10.000000]",7.000000
700,70199,8.000000,"[8.000000,11.000000,10.000000,8.000000]",8.000000
800,80151,9.000000,"[9.000000,18.000000,9.000000,9.000000]",9.000000
900,90100,30.000000,"[37.000000,38.000000,36.000000,30.000000]",30.000000
1000,100112,7.000000,"[10.000000,7.000000,11.000000,10.000000]",10.000000
1100,110124,27.000000,"[51.000000,40.000000,27.000000,29.000000]",29.000000
1200,120125,9.000000,"[64.000000,9.000000,24.000000,41.000000]",24.000000
1300,130197,26.000000,"[30.000000,34.000000,59.000000,26.000000]",59.000000
1400,140184,30.000000,"[40.000000,40.000000,31.000000,30.000000]",30.000000
1500,150184,24.000000,"[43.000000,30.000000,24.000000,40.000000]",40.000000
1600,160196,31.000000,"[39.000000,31.000000,46.000000,31.000000]",31.000000
1700,170132,35.000000,"[35.000000,39.000000,36.000000,40.000000]",40.000000
1800,180114,17.000000,"[48.000000,17.000000,45.000000,18.000000]",17.000000
1900,190116,33.000000,"[44.000000,34.000000,33.000000,34.000000]",34.000000
2000,200159,31.000000,"[31.000000,32.000000,46.000000,32.000000]",31.000000
2100,210174,20.000000,"[20.000000,34.000000,31.000000,62.000000]",34.000000
2200,220113,22.000000,"[25.000000,64.000000,29.000000,22.000000]",29.000000
2300,230121,28.000000,"[28.000000,36.000000,41.000000,44.000000]",41.000000
2400,240164,30.000000,"[30.000000,33.000000,44.000000,32.000000]",32.000000
2500,250189,35.000000,"[37.000000,39.000000,37.000000,35.000000]",37.000000
2600,260182,26.000000,"[46.000000,43.000000,26.000000,29.000000]",43.000000
2700,270123,23.000000,"[37.000000,23.000000,34.000000,38.000000]",37.000000
2800,280151,31.000000,"[37.000000,33.000000,44.000000,31.000000]",37.000000
2900,290123,31.000000,"[32.000000,31.000000,37.000000,43.000000]",32.000000
3000,300116,25.000000,"[25.000000,35.000000,32.000000,42.000000]",42.000000
3100,310139,24.000000,"[39.000000,41.000000,24.000000,36.000000]",39.000000
3200,320160,8.000000,"[11.000000,10.000000,8.000000,10.000000]",10.000000
3300,330155,28.000000,"[28.000000,33.000000,46.000000,38.000000]",28.000000
3400,340148,19.000000,"[41.000000,24.000000,62.000000,19.000000]",19.000000
3500,350140,30.000000,"[39.000000,42.000000,38.000000,30.000000]",30.000000
3600,360192,18.000000,"[44.000000,36.000000,34.000000,18.000000]",18.000000
3700,370184,9.000000,"[44.000000,9.000000,42.000000,38.000000]",38.000000
3800,380175,29.000000,"[40.000000,33.000000,29.000000,47.000000]",40.000000
3900,390168,17.000000,"[38.000000,60.000000,17.000000,30.000000]",30.000000
4000,400141,4.000000,"[23.000000,74.000000,30.000000,4.000000]",30.000000
4100,410198,31.000000,"[36.000000,37.000000,45.000000,31.000000]",37.000000
4200,420192,33.000000,"[35.000000,37.000000,33.000000,41.000000]",41.000000
4300,430155,24.000000,"[24.000000,63.000000,30.000000,28.000000]",24.000000
4400,440149,26.000000,"[28.000000,31.000000,26.000000,55.000000]",26.000000
4500,450161,29.000000,"[34.000000,29.000000,29.000000,57.000000]",29.000000
4600,460192,27.000000,"[27.000000,29.000000,52.000000,37.000000]",37.000000
4700,470157,32.000000,"[43.000000,32.000000,32.000000,40.000000]",32.000000
4800,480168,21.000000,"[21.000000,31.000000,52.000000,31.000000]",31.000000
4900,490114,27.000000,"[36.000000,27.000000,38.000000,40.000000]",27.000000
5000,500186,14.000000,"[50.000000,14.000000,48.000000,29.000000]",14.000000
5100,510161,13.000000,"[36.000000,35.000000,50.000000,13.000000]",50.000000
5200,520121,28.000000,"[36.000000,35.000000,28.000000,28.000000]",28.000000
5300,530122,35.000000,"[35.000000,39.000000,39.000000,36.000000]",39.000000
5400,540148,21.000000,"[21.000000,27.000000,48.000000,40.000000]",40.000000
5500,550183,28.000000,"[28.000000,29.000000,37.000000,40.000000]",28.000000
5600,560184,22.000000,"[39.000000,22.000000,25.000000,37.000000]",37.000000
5700,570155,25.000000,"[37.000000,25.000000,53.000000,38.000000]",37.000000
5800,580118,7.000000,"[12.000000,7.000000,8.000000,9.000000]",7.000000
5900,590134,31.000000,"[40.000000,37.000000,31.000000,39.000000]",37.000000
6000,600171,21.000000,"[68.000000,24.000000,21.000000,29.000000]",68.000000
6100,610106,27.000000,"[45.000000,27.000000,42.000000,32.000000]",27.000000
6200,620184,33.000000,"[36.000000,36.000000,33.000000,33.000000]",33.000000
6300,630195,26.000000,"[31.000000,26.000000,44.000000,42.000000]",31.000000
6400,640140,19.000000,"[67.000000,40.000000,19.000000,20.000000]",20.000000
6500,650167,19.000000,"[28.000000,55.000000,19.000000,30.000000]",28.000000
6600,660158,10.000000,"[10.000000,24.000000,53.000000,39.000000]",24.000000
6700,670161,31.000000,"[34.000000,43.000000,40.000000,31.000000]",40.000000
6800,680163,33.000000,"[33.000000,39.000000,40.000000,34.000000]",33.000000
6900,690113,7.000000,"[7.000000,47.000000,40.000000,28.000000]",40.000000
7000,700175,23.000000,"[23.000000,37.000000,44.000000,27.000000]",23.000000
7100,710148,32.000000,"[32.000000,33.000000,36.000000,41.000000]",41.000000
7200,720148,8.000000,"[9.000000,10.000000,9.000000,8.000000]",8.000000
7300,730112,22.000000,"[34.000000,22.000000,28.000000,61.000000]",61.000000
7400,740170,20.000000,"[39.000000,40.000000,20.000000,31.000000]",40.000000
7500,750180,20.000000,"[20.000000,52.000000,31.000000,43.000000]",43.000000
7600,760165,24.000000,"[46.000000,50.000000,24.000000,30.000000]",24.000000
7700,770115,31.000000,"[36.000000,31.000000,34.000000,44.000000]",36.000000
7800,780105,16.000000,"[40.000000,23.000000,22.000000,16.000000]",22.000000
7900,790117,26.000000,"[47.000000,45.000000,31.000000,26.000000]",31.000000
8000,800172,26.000000,"[26.000000,38.000000,36.000000,47.000000]",47.000000
8100,810141,31.000000,"[33.000000,47.000000,39.000000,31.000000]",39.000000
8200,820196,24.000000,"[41.000000,38.000000,30.000000,24.000000]",24.000000
8300,830181,28.000000,"[38.000000,41.000000,40.000000,28.000000]",40.000000
8400,840165,23.000000,"[56.000000,23.000000,28.000000,23.000000]",28.000000
8500,850188,21.000000,"[21.000000,26.000000,33.000000,60.000000]",60.000000
8600,860170,29.000000,"[41.000000,38.000000,31.000000,29.000000]",38.000000
8700,870156,17.000000,"[19.000000,17.000000,33.000000,56.000000]",56.000000
8800,880178,23.000000,"[43.000000,39.000000,23.000000,33.000000]",39.000000
8900,890151,25.000000,"[40.000000,32.000000,25.000000,52.000000]",40.000000
9000,900135,9.000000,"[10.000000,11.000000,9.000000,9.000000]",10.000000
9100,910160,20.000000,"[29.000000,20.000000,42.000000,57.000000]",57.000000
9200,920115,24.000000,"[36.000000,29.000000,24.000000,55.000000]",36.000000
9300,930139,22.000000,"[53.000000,22.000000,28.000000,46.000000]",53.000000
9400,940132,30.000000,"[36.000000,42.000000,30.000000,34.000000]",34.000000
9500,950151,9.000000,"[9.000000,10.000000,10.000000,19.000000]",9.000000
9600,960149,22.000000,"[29.000000,36.000000,22.000000,58.000000]",22.000000
9700,970101,27.000000,"[27.000000,32.000000,27.000000,60.000000]",27.000000
9800,980117,26.000000,"[33.000000,30.000000,26.000000,50.000000]",26.000000
9900,990115,26.000000,"[33.000000,26.000000,38.000000,41.000000]",33.000000
10000,1000100,25.000000,"[25.000000,61.000000,27.000000,31.000000]",31.000000
10100,1010165,31.000000,"[31.000000,35.000000,43.000000,38.000000]",43.000000
10200,1020120,32.000000,"[32.000000,35.000000,48.000000,37.000000]",37.000000
10300,1030193,8.000000,"[13.000000,46.000000,71.000000,8.000000]",71.000000
10400,1040154,18.000000,"[35.000000,18.000000,23.000000,60.000000]",18.000000
10500,1050114,15.000000,"[32.000000,15.000000,61.000000,33.000000]",15.000000
10600,1060169,33.000000,"[33.000000,36.000000,37.000000,42.000000]",37.000000
10700,1070184,7.000000,"[7.000000,7.000000,8.000000,11.000000]",11.000000
10800,1080157,14.000000,"[43.000000,45.000000,14.000000,40.000000]",14.000000
10900,1090167,17.000000,"[17.000000,39.000000,52.000000,39.000000]",17.000000
11000,1100151,5.000000,"[9.000000,9.000000,5.000000,8.000000]",9.000000
11100,1110100,27.000000,"[29.000000,27.000000,45.000000,42.000000]",42.000000
11200,1120134,20.000000,"[20.000000,30.000000,58.000000,39.000000]",30.000000
11300,1130167,28.000000,"[29.000000,39.000000,28.000000,37.000000]",29.000000
11400,1140191,23.000000,"[28.000000,51.000000,25.000000,23.000000]",28.000000
11500,1150152,26.000000,"[45.000000,37.000000,26.000000,32.000000]",32.000000
11600,1160189,26.000000,"[41.000000,43.000000,26.000000,30.000000]",26.000000
11700,1170184,30.000000,"[40.000000,33.000000,30.000000,32.000000]",32.000000
11800,1180172,15.000000,"[32.000000,32.000000,48.000000,15.000000]",15.000000
