generation,ID,score,rawScores,ownScore
0,187,5.000000,"[10.000000,0.000000,0.000000,10.000000]",10.000000
100,10186,13.750000,"[25.000000,12.000000,0.000000,18.000000]",12.000000
200,20190,10.250000,"[10.000000,0.000000,24.000000,7.000000]",0.000000
300,30139,34.500000,"[15.000000,49.000000,74.000000,0.000000]",15.000000
400,40161,34.750000,"[57.000000,24.000000,52.000000,6.000000]",52.000000
500,50122,35.500000,"[60.000000,19.000000,22.000000,41.000000]",19.000000
600,60171,31.250000,"[55.000000,25.000000,37.000000,8.000000]",55.000000
700,70179,35.500000,"[52.000000,31.000000,36.000000,23.000000]",52.000000
800,80193,20.750000,"[27.000000,10.000000,18.000000,28.000000]",18.000000
900,90163,35.750000,"[21.000000,36.000000,39.000000,47.000000]",21.000000
1000,100136,31.500000,"[25.000000,20.000000,26.000000,55.000000]",55.000000
1100,110185,30.750000,"[40.000000,0.000000,30.000000,53.000000]",30.000000
1200,120161,37.250000,"[20.000000,31.000000,42.000000,56.000000]",42.000000
1300,130111,23.000000,"[10.000000,15.000000,0.000000,67.000000]",10.000000
1400,140175,35.750000,"[10.000000,67.000000,37.000000,29.000000]",10.000000
1500,150146,36.500000,"[26.000000,57.000000,7.000000,56.000000]",57.000000
1600,160174,32.500000,"[5.000000,92.000000,27.000000,6.000000]",92.000000
1700,170100,35.750000,"[38.000000,29.000000,40.000000,36.000000]",36.000000
1800,180105,31.750000,"[0.000000,39.000000,46.000000,42.000000]",46.000000
1900,190127,31.500000,"[24.000000,62.000000,40.000000,0.000000]",24.000000
2000,200160,35.500000,"[23.000000,38.000000,26.000000,55.000000]",55.000000
2100,210151,33.250000,"[41.000000,38.000000,54.000000,0.000000]",41.000000
2200,220184,35.250000,"[29.000000,56.000000,24.000000,32.000000]",32.000000
2300,230100,9.500000,"[0.000000,11.000000,8.000000,19.000000]",19.000000
2400,240188,36.000000,"[38.000000,49.000000,26.000000,31.000000]",31.000000
2500,250106,31.000000,"[58.000000,11.000000,1.000000,54.000000]",11.000000
2600,260109,38.000000,"[39.000000,33.000000,35.000000,45.000000]",35.000000
2700,270110,34.750000,"[0.000000,72.000000,24.000000,43.000000]",72.000000
2800,280169,36.500000,"[45.000000,38.000000,36.000000,27.000000]",36.000000
2900,290159,34.250000,"[47.000000,27.000000,1.000000,62.000000]",47.000000
3000,300135,34.250000,"[43.000000,11.000000,41.000000,42.000000]",43.000000
3100,310101,37.000000,"[64.000000,17.000000,34.000000,33.000000]",34.000000
3200,320125,36.000000,"[33.000000,24.000000,57.000000,30.000000]",57.000000
3300,330164,33.500000,"[7.000000,52.000000,31.000000,44.000000]",44.000000
3400,340194,37.000000,"[32.000000,60.000000,31.000000,25.000000]",60.000000
3500,350123,36.500000,"[40.000000,33.000000,30.000000,43.000000]",40.000000
3600,360127,13.500000,"[15.000000,19.000000,0.000000,20.000000]",15.000000
3700,370100,36.000000,"[26.000000,0.000000,45.000000,73.000000]",73.000000
3800,380153,31.000000,"[33.000000,41.000000,50.000000,0.000000]",50.000000
3900,390122,35.250000,"[0.000000,26.000000,10.000000,105.000000]",26.000000
4000,400125,29.750000,"[19.000000,8.000000,68.000000,24.000000]",68.000000
4100,410116,30.750000,"[45.000000,19.000000,11.000000,48.000000]",48.000000
4200,420175,36.000000,"[53.000000,37.000000,0.000000,54.000000]",53.000000
4300,430104,35.750000,"[31.000000,36.000000,31.000000,45.000000]",45.000000
4400,440159,30.500000,"[75.000000,0.000000,0.000000,47.000000]",75.000000
4500,450143,35.000000,"[59.000000,46.000000,35.000000,0.000000]",59.000000
4600,460108,29.000000,"[30.000000,0.000000,41.000000,45.000000]",45.000000
4700,470128,28.250000,"[39.000000,8.000000,32.000000,34.000000]",34.000000
4800,480126,19.500000,"[0.000000,34.000000,12.000000,32.000000]",34.000000
4900,490191,36.250000,"[47.000000,50.000000,40.000000,8.000000]",47.000000
5000,500179,34.250000,"[31.000000,33.000000,43.000000,30.000000]",31.000000
5100,510107,33.250000,"[41.000000,40.000000,30.000000,22.000000]",41.000000
5200,520100,36.750000,"[61.000000,7.000000,57.000000,22.000000]",22.000000
5300,530113,36.750000,"[0.000000,40.000000,38.000000,69.000000]",38.000000
5400,540185,23.750000,"[18.000000,0.000000,17.000000,60.000000]",17.000000
5500,550121,34.250000,"[39.000000,38.000000,25.000000,35.000000]",25.000000
5600,560130,36.750000,"[36.000000,32.000000,34.000000,45.000000]",32.000000
5700,570129,37.750000,"[56.000000,38.000000,21.000000,36.000000]",21.000000
5800,580142,33.250000,"[11.000000,37.000000,51.000000,34.000000]",37.000000
5900,590177,24.500000,"[24.000000,35.000000,27.000000,12.000000]",27.000000
6000,600102,35.500000,"[55.000000,8.000000,33.000000,46.000000]",8.000000
6100,610141,28.250000,"[0.000000,14.000000,27.000000,72.000000]",27.000000
6200,620162,33.500000,"[6.000000,47.000000,72.000000,9.000000]",47.000000
6300,630138,29.750000,"[0.000000,64.000000,44.000000,11.000000]",64.000000
6400,640103,30.500000,"[25.000000,28.000000,45.000000,24.000000]",25.000000
6500,650168,34.250000,"[36.000000,62.000000,9.000000,30.000000]",30.000000
6600,660179,20.250000,"[71.000000,10.000000,0.000000,0.000000]",71.000000
6700,670133,32.000000,"[27.000000,0.000000,81.000000,20.000000]",81.000000
6800,680182,35.000000,"[11.000000,0.000000,78.000000,51.000000]",0.000000
6900,690121,30.250000,"[0.000000,53.000000,45.000000,23.000000]",45.000000
7000,700198,23.250000,"[7.000000,49.000000,0.000000,37.000000]",49.000000
7100,710152,9.750000,"[10.000000,19.000000,0.000000,10.000000]",10.000000
7200,720100,35.000000,"[35.000000,58.000000,47.000000,0.000000]",0.000000
7300,730133,36.250000,"[0.000000,39.000000,61.000000,45.000000]",61.000000
7400,740132,33.250000,"[0.000000,0.000000,90.000000,43.000000]",43.000000
7500,750128,36.750000,"[37.000000,21.000000,24.000000,65.000000]",65.000000
7600,760111,36.500000,"[66.000000,46.000000,24.000000,10.000000]",66.000000
7700,770126,34.250000,"[0.000000,130.000000,0.000000,7.000000]",130.000000
7800,780151,35.000000,"[37.000000,45.000000,30.000000,28.000000]",37.000000
7900,790146,29.000000,"[31.000000,64.000000,21.000000,0.000000]",64.000000
8000,800151,33.500000,"[110.000000,0.000000,6.000000,18.000000]",110.000000
8100,810139,34.750000,"[37.000000,29.000000,39.000000,34.000000]",37.000000
8200,820170,34.750000,"[23.000000,59.000000,0.000000,57.000000]",59.000000
8300,830136,19.000000,"[1.000000,0.000000,0.000000,75.000000]",75.000000
8400,840134,21.750000,"[21.000000,23.000000,33.000000,10.000000]",23.000000
8500,850187,36.500000,"[26.000000,0.000000,65.000000,55.000000]",26.000000
8600,860115,31.000000,"[35.000000,47.000000,42.000000,0.000000]",35.000000
8700,870129,35.500000,"[0.000000,20.000000,122.000000,0.000000]",122.000000
